比赛项目,报名开启时间,报名渠道,创建人,分项规模,官网,完赛经历要求,体检报告,奖牌,官方邮箱,联系电话,运营单位,出签日期,省份,赛事等级,退出机制,报名截止时间,比赛路线,抽签,起点,状态,主办单位,比赛日期,报名费,缴费时间,总规模,最后编辑人,微信公众号,赛事
半程 / 短距离,2024-12-24 20:00,官网/微信/小程序,,3000/2000,,未提及,自行评估,,mazumarathon@126.com,0591-38876306,福建省广播影视文化传媒有限公司,,福建,B,无,2025-02-28 20:00,,❌,莲池沙滩[公交站],已结束,湄洲岛国家旅游度假区管委会 / 莆田市体育局,2025-03-30 14:47,120/80,报名时缴费,5000,,妈祖女子马拉松,妈祖（湄洲岛）女子半程马拉松
全程 / 半程 / 短距离,2024-12-18 10:00,官网/微信/小程序 / 马拉马拉 / 数字心动 / 博润体育 / 智赛通 / 跑跑网(马拉松报名) / 最酷 / 赛客,,3000/5000/5000,,未提及,自行评估,,nhxxk_marathon@163.com,13260675696,南京极致体育发展有限公司,,浙江,A,无,2025-02-14 18:00,,❌,宁海西门城楼,已结束,宁海县人民政府 / 浙江省马拉松及路跑协会,2025-03-16 16:07,150/120/60,报名时缴费,13000,,宁海马拉松,宁海马拉松
半程 / 短距离,2024-12-01 19:00,官网/微信/小程序 / 马拉马拉,,,https://www.queenrun.cn,未提及,未提及,,suaosports@163.com,0512-65722565,江苏苏奥体育科技有限公司,2025-01-17 17:55,江苏,A / 精英,无,2025-01-03 17:00,,✔️,,已结束,无锡太湖国家旅游度假区管委会,2025-03-02 15:56,150/80,报名时缴费,,,QueenRun,无锡太湖女子半程马拉松
半程 / 短距离,2025-01-27 15:00,官网/微信/小程序 / 数字心动,,4500/4500,,未提及,现场核验,,zigongmarathon@scsig.com,13982042195,四川中奥致远体育文化传播有限公司,,四川,A,无,2025-02-28 17:00,,❌,青龙湖,已结束,自贡市大安区人民政府 / 自贡市人民政府 / 四川省田径协会,2025-03-09 10:09,120/60,报名时缴费,9000,,川体赛事,自贡半程马拉松
全程 / 半程 / 短距离,2025-01-06 10:00,官网/微信/小程序 / 最酷,,3000/10000/3000,,未提及,自行评估,,jiujiangmarathon@163.com,18066105306,江苏省体育竞赛有限公司,,江西,A,无,2025-02-10 10:00,,❌,,已结束,江西省体育局 / 九江市人民政府,2025-03-23 10:03,150/100/50,报名时缴费,16000,,九江马拉松,九江马拉松
半程 / 短距离,2025-02-20 15:00,官网/微信/小程序,,2000/5000,,未提及,未提及,,zjslty@126.com,18702590827,浙江森狼体育发展有限公司,,江西,A,无,2025-03-05 23:59,,❌,,已结束,修水县人民政府,2025-03-30 18:13,150/50,报名时缴费,7000,,修水马拉松,修水半程马拉松
半程 / 短距离,2025-01-17 10:00,官网/微信/小程序 / 第一赛道,,4000/3000,https://wuxuan.sport-china.cn,半程或以上,自行评估,,wuxuan@gustomail.cn,,广西新中体育有限责任公司,,广西,A,"1.退赛退费：（1）已提交报名信息及支付的选手，在退改服务期限内，可在订单页面自行办理退费服务。（2）完成缴费后24小时内的报名订单，申请退赛退费的将不收取任何费用，报名费将在申请后1个工作日内全额原路退回。（3）完成缴费后超过24小时的报名订单，申请退赛退费的不论项目均需收取20元/次的服务费，扣除相应服务费后剩余费用在申请后1个工作日内原路退回。
2.改换项目：（1）需要更换项目的选手，在退改服务截止前，可先进行退赛退费操作后，重新报名需改换的项目。（2）从短距离项目改长距离项目者，还须符合长距离项目参赛条件并通过审核后方能获得参赛资格。3.退改服务期限：2月16日退费服务系统关闭，将不再受理任何退费申请。4.由组委会审核报名资质不符合者，在报名截止前可以重新提交符合要求的资格证书，在报名截止后不能再重新提交。资格审核不通过的报名费将在报名截止后的7个工作日内全额原路退回。",2025-02-23 18:00,,❌,,已结束,来宾市人民政府,2025-03-09 10:48,120/60,报名时缴费,7000,,武宣半程马拉松,武宣半程马拉松
全程 / 半程 / 10km / 短距离,,官网/微信/小程序,,500/5000/4500/2000,https://www.taipeifreewaymarathon.com/,竞速菁英马拉松组需4小时内马拉松完赛成绩,未提及,,service@sportsnet.org.tw,(886)02-25855659,,,台湾,AIMS,有,2025-02-04 17:00,,❌,,已结束,"""中華民國路跑協會""",2025-03-09 15:41,NT$1300/1100/800/600,报名时缴费,12000,,,臺北國道馬拉松
全程 / 半程 / 短距离,2025-01-13 10:00,官网/微信/小程序,,5000/10000/15000,https://ntmls.irunner.mobi,未提及,自行评估,,nantongmalasong@163.com,15190878421,江苏铁人体育文化发展有限公司,2025-02-14 15:59,江苏,A,无,2025-02-12 00:00,,✔️,,已结束,南通市人民政府,2025-03-23 17:16,150/120/80,报名时缴费,30000,,南通马拉松,南通马拉松
半程,2025-01-20 10:00,官网/微信/小程序,,25000,https://www.nj-halfmarathon.com,未提及,自行评估,https://docimg5.docs.qq.com/image/AgAACG-qqCG1fr1o8PVLw4uAIDptOBhQ.jpeg?w=1080&h=776,nj-halfmarathon@xempower.com.cn,025-87775902,南京善跑体育科技有限公司,2025-02-18 10:19,江苏,A,有,2025-02-08 18:00,https://docimg5.docs.qq.com/image/AgAACG-qqCGv7cLZ9lFB96lwtL1TFRi4.jpeg?w=1080&h=1873,✔️,南京奥林匹克体育中心(东门),已结束,南京市人民政府,2025-03-16 13:48,200,中签后缴费,25000,,南京半程马拉松,南京半程马拉松
半程 / 短距离,2025-01-10 14:00,官网/微信/小程序 / 数字心动 / 马拉马拉 / 最酷 / 跑跑网(马拉松报名) / 赛客 / 智赛通 / 润赛美佳 / 马拉松报名网,,6000/2000,,半程或以上,自行评估,,cqcshmls@139.com,15814562376,重庆市长寿湖旅游景区管理股份有限公司,,重庆,A,无,2025-02-16 12:00,,❌,长寿湖广场,已结束,重庆市长寿区人民政府,2025-03-16 18:51,130/68,报名时缴费,8000,,长寿湖马拉松,重庆长寿湖半程马拉松
半程 / 短距离,2025-01-15 10:00,官网/微信/小程序 / 数字心动 / 马拉马拉 / 最酷,,8000/2000,https://www.qufumarathon.com,未提及,未提及,,,,,,山东,B,无,2025-03-15 18:00,https://docimg10.docs.qq.com/image/AgAACG-qqCFjhSVkPzVP2bOxEGDo2y78.jpeg?w=1080&h=893,❌,曲阜市孔子国际会展中心,已结束,济宁市体育局 / 曲阜市人民政府,2025-04-20 14:27,120/60,报名时缴费,10000,,圣城体育,曲阜半程马拉松
半程 / 短距离,2025-03-01 11:09,官网/微信/小程序 / 数字心动,,3000/7119,,半程或以上,自行评估,,qxnxfmls@163.com,17262350119,贵州钟山旅游产业发展有限责任公司,,贵州,B,无,2025-03-31 23:59,,❌,阳光谷旅游度假区,已结束,黔西南州人民政府,2025-04-20 10:44,88/8.8,报名时缴费,10119,,黔西南消防,万峰林半程马拉松
半程 / 短距离,2025-03-03 10:00,官网/微信/小程序,,7000/3000,http://www.xianmarathon.com,未提及,自行评估,,ximahuipao@163.com,400-1142195,西安西马汇跑赛事运营有限公司,2025-03-13 10:57,陕西,A,3月28日前可退出,2025-03-07 18:00,,✔️,池望广场,已结束,陕西省西咸新区开发建设管理委员会,2025-04-20 09:52,150/80,中签后缴费,10000,,,西咸新区半程马拉松赛
半程 / 短距离,2025-03-10 10:00,官网/微信/小程序,,3000/4000,,半程或以上,可用完赛证书,,,0710-8225818,浙江青鸟捷出体育科技有限公司,2025-03-29 11:07,湖北,A,无,2025-03-23 20:00,,✔️,翔鹤楼餐饮店,已结束,中共老河口市委 / 老河口市人民政府,2025-04-20 14:40,130/60,报名时缴费,7000,,老河口半程马拉松,老河口半程马拉松
全程 / 半程 / 短距离,2025-01-21 10:00,官网/微信/小程序 / 汇跑参赛助手,,3000/6000/3000,,未提及,必须,,,400-0022-330,宁波城市漫步文化传播有限公司,,浙江,A,1.2025年2月28日（含）之前提出退赛申请的，退还报名费；提交退赛申请的选手报名费将于赛事结束后10个工作日内安排专人退还选手报名时的支付账户；2025年2月28日之后提出退赛申请的，退还50%报名费。2.退赛服务系统将在报名截止10日后关闭，将不再受理任何退费申请，报名费不予退还。,2025-02-28 20:00,https://docimg5.docs.qq.com/image/AgAACG-qqCH-4tbklB5IIbtQxYipCt6B.png?w=1080&h=1527,❌,人民广场,已结束,象山县人民政府 / 浙江省马拉松及路跑协会,2025-04-13 09:37,150/120/80,报名时缴费,12000,,象山县马拉松,象山马拉松
半程 / 短距离,2025-01-09 10:00,数字心动,,6000/6000,,未提及,自行评估,,32332033@qq.com,18532699861,河北乐跑体育发展有限公司,,河北,A,无,2025-01-25 10:00,https://docimg10.docs.qq.com/image/AgAACG-qqCHTS-3d_uZIwLVkeeHt6ErH.jpeg?w=6805&h=7086,❌,开元寺塔广场,已结束,中共定州市委 / 定州市人民政府,2025-04-20 15:40,120/50,报名时缴费,12000,,,定州半程马拉松
全程 / 半程 / 10km / 短距离,2025-02-10 10:00,数字心动 / 马拉马拉 / 体坛赛事,,4000/10000/3000/3000,,未提及,自行评估,https://docimg2.docs.qq.com/image/AgAACG-qqCEaKXNjb1ZLy7WFK1Dm8IUI.png?w=1080&h=639,,19083398507,,,湖南,A / A,,2025-02-28 10:00,,❌,"""守护好一江碧水""首倡地展陈馆",已结束,湖南省体育局 / 岳阳市人民政府,2025-04-06 13:48,150/130/110/78,报名时缴费,20000,,岳阳马拉松,岳阳马拉松暨中国田径协会10公里精英赛（岳阳站）
全程 / 短距离,2025-03-01 10:00,官网/微信/小程序 / 数字心动,,15000,http://bjmcmarathon.chinaath.com,未提及,未提及,,bjmcm@beiao.com,010-69559928,北京北奥集团有限责任公司,2025-03-26 11:08,北京,A,,2025-03-16 18:00,,✔️,司空分署街,已结束,北京市通州区人民政府 / 北京国有资产经营有限责任公司,2025-04-19 09:11,180,报名时缴费,15000,,北京城市副中心马拉松,北京城市副中心马拉松
半程 / 短距离,2025-02-10 10:00,官网/微信/小程序 / 数字心动,,800/2200,https://kangxianmarathon.com,未提及,自行评估,,kxmarathon@163.com,0931-8100500,甘肃行者体育管理有限公司,,甘肃,A,无,2025-02-26 18:25,,❌,一带一路美丽乡村论坛会址,已结束,陇南市人民政府 / 康县人民政府,2025-04-20 17:18,100/60,报名时缴费,3000,,康县青龙山半程马拉松,康县青龙山半程马拉松
全程 / 半程 / 短距离,2025-03-07 10:00,官网/微信/小程序,,3000/5000/4000,,未提及,未提及,,,0351-6933111,华舰体育赛事发展（山西）有限公司,,山西,B,无,2025-03-22 23:59,,❌,晋城高平开元名都酒店,已结束,晋城市体育局 / 高平市人民政府,2025-05-02 00:00,120/100/50,报名时缴费,12000,,华舰赛事,高平马拉松赛
半程 / 短距离,2025-02-27 10:00,官网/微信/小程序 / 数字心动 / 马拉马拉 / 我要赛 / 最酷 / 跑跑网(马拉松报名),,10000/5000,http://www.hnxjty.cn/,未提及,未提及,,,0731-82566433,湖南博森体育管理有限公司,,湖南,A,无,2025-03-16 10:00,,❌,贺龙体育场-南广场,已结束,长沙市人民政府,2025-04-20 17:35,130/60,报名时缴费,15000,,湘江马拉松赛,湘江半程马拉松赛
全程 / 半程 / 短距离,2025-01-22 10:00,官网/微信/小程序 / 数字心动,,7000/6000/7000,https://huaian.marathon.org.cn,未提及,未提及,,kefu@ihuipao.com,400-99-42195,无锡汇跑体育有限公司,2025-02-13 11:09,江苏,A / 标牌,,2025-02-07 17:00,,✔️,翔宇大道与越秀路交叉口,已结束,淮安市人民政府,2025-04-13 00:00,160/160/100,中签后缴费,20000,,淮安马拉松、汇跑赛事,淮安马拉松
半程,2025-03-18 20:00,官网/微信/小程序 / 马拉马拉,,20000,http://beijing-halfmarathon.com,未提及,自行评估,,beijing-halfmarathon@brtv.org.cn,13161117089,,2025-03-31 10:45,北京,A / 标牌,无,2025-03-22 00:00,,✔️,天安门广场,已结束,北京市体育局,2025-04-20 10:44,120,中签后缴费,20000,,北京半程马拉松,北京半程马拉松
全程 / 半程 / 短距离,2025-02-12 10:00,官网/微信/小程序 / 数字心动,,3000/10000/5000,,未提及,自行评估,,2658719366@qq.com,0371-86667787,河南世纪中原体育文化有限公司,,河南,A,无,2025-03-10 10:00,,❌,,已结束,安阳市人民政府,2025-04-26 09:13,150/120/50,报名时缴费,18000,,安阳马拉松,安阳马拉松赛
半程 / 短距离,2025-03-06 10:00,官网/微信/小程序 / 数字心动,,2500/6500,,,自行评估,,,023-67302960,重庆炫豹体育文化产业有限公司,,重庆,A,无,2025-03-31 23:59,,❌,,已结束,中共奉节县委 / 奉节县人民政府,2025-04-13 14:02,150/60,报名时缴费,9000,,,奉节半程马拉松
全程 / 半程 / 短距离,2024-12-16 15:00,官网/微信/小程序 / 数字心动 / 马拉马拉,,9000/12000/4000,https://www.qd-mls.com,半程或以上 / 10km及以上,自行评估,,zixun@qd-mls.com,15689901187,青岛青马爱跑体育文化有限公司,2025-01-06 17:42,山东,A / 精英,1.预报名时间内，所有报名者可申请取消预报名并退款。2.中签报名者在2025年1月10日15:00至2025年2月19日12:00期间内可申请取消报名；2025年2月8日15:00前申请取消原报名项目报名费全额退还，此时间后申请取消报名退还原报名项目报名费的75%。3.2025年1月10日15:00至2025年2月19日12:00前，所有候补报名者可申请取消预报名并退款。4.其余时间内不可申请取消（预）报名。,2024-12-22 12:00,,✔️,青岛市人民政府,已结束,青岛市人民政府,2025-04-20 14:35,200/160/80,报名时缴费,25000,,青岛国际马拉松,青岛马拉松
全程 / 半程 / 短距离,2025-01-22 15:00,官网/微信/小程序 / 润赛美佳 / 数字心动,,4000/4000/7000,,未提及,自行评估,,hzhrmls@163.com,,菏泽华瑞国粮国际会展有限公司,,山东,A,无,2025-03-17 00:00,https://docimg1.docs.qq.com/image/AgAACG-qqCG4syfqdBdNPJ5fYFWSiavj.png?w=590&h=811,❌,菏泽大剧院,已结束,菏泽市人民政府,2025-04-26 16:43,120/100/60,报名时缴费,15000,,菏泽马拉松,菏泽马拉松
半程 / 短距离,2025-02-16 10:00,数字心动 / 马拉马拉 / 润赛美佳 / 最酷 / 跑跑网(马拉松报名),,7000/3000,,未提及,自行评估,,stcbanm2025@163.com,18920575313,北京初美体育文化发展有限公司,2025-03-12 10:59,天津,B,无,2025-02-28 20:00,,✔️,国家海洋博物馆南广场,已结束,天津市滨海新区人民政府 / 中新天津生态城管理委员会,2025-04-26 15:25,150/100,报名时缴费,10000,,生态城精彩赛事,中新天津生态城半程马拉松
半程,2025-03-03 14:00,官网/微信/小程序,,8000,https://www.sj-marathon.com,未提及,未提及,,sheshan-marathon@imohoo.com,025-87775902,南京魔盒信息科技有限公司,2025-03-24 11:06,上海,A,3.20前可退出报名，出签后伤病可退,2025-03-13 18:00,https://docimg2.docs.qq.com/image/AgAACG-qqCHSK43HZdNH4rxeo87eJDC3.jpeg?w=1080&h=1556,✔️,上海欢乐谷-东南门,已结束,上海市松江区人民政府,2025-04-13 09:15,200,报名时缴费,8000,,G60上海佘山半程马拉松,上海佘山半程马拉松
半程,2025-02-20 14:00,官网/微信/小程序 / 上马,,15000,https://www.shang-ma.com,未提及,未提及,,general@shmarathon.com,,上海东浩兰生赛事管理有限公司,2025-03-05 16:49,上海,A / 金标,无,2025-02-24 14:00,,✔️,东方明珠广播电视塔,已结束,上海市体育总会 / 上海市浦东新区人民政府 / 东浩兰生（集团）有限公司,2025-04-20 08:41,160,中签后缴费,15000,,上马,上海半程马拉松
全程 / 半程 / 短距离,2025-03-06 08:30,官网/微信/小程序,,3000/7000/8000,,,,,,,北京中迹体育管理有限公司,2025-03-13 09:07,河北,A,无,2025-03-10 18:00,,✔️,雄安城市计算(超算云)中心,已结束,雄安新区管委会,2025-04-20 14:26,150/100/50,报名时缴费,18000,,,雄安马拉松
半程 / 10km / 短距离,2024-10-21 17:00,官网/微信/小程序,,6000/5000/1500,https://www.womenruntpe.com/,未提及,未提及,,service@sportsnet.org.tw,(886)02-25855659,,,台湾,AIMS,有,2025-02-13 17:00,,❌,台北市政府,已结束,"""中華民國路跑協會""",2025-04-13 14:41,NT$1200/800/500,报名时缴费,12500,,,WOMEN RUN TPE
半程 / 短距离,2025-02-14 10:00,官网/微信/小程序 / 数字心动,,7000/3000,http://dayunhemarathon.umaysports.cn/,未提及,自行评估,,dayunhemarathon@163.com,19905197127,海南今燊体育文化发展有限公司 / 南京有迈体育发展有限公司,2025-03-28 17:26,江苏,A,无,2025-03-23 18:00,https://docimg6.docs.qq.com/image/AgAACG-qqCHm1qR82lpOOaywNf4PL3GJ.png?w=1280&h=1156,✔️,,已结束,常州市天宁区人民政府 / 常州市体育局,2025-04-20 17:23,150/60,报名时缴费,10000,,常州天宁大运河半程马拉松、有迈路跑,常州天宁大运河半程马拉松
全程 / 半程 / 短距离,2025-01-17 10:00,官网/微信/小程序 / 数字心动,,1500/3500/5000,,未提及,自行评估,,,18569989766,河南黄河体育文化有限公司,,河南,B,,2025-04-07 23:59,,❌,,已结束,兰考县人民政府,2025-04-20 09:59,140/120/60,报名时缴费,10000,,兰考沿黄马拉松赛,兰考沿黄马拉松赛
全程 / 半程 / 短距离,2025-02-14 09:00,官网/微信/小程序 / 我要赛,,1000/1500/2500,,未提及,未提及,,,,中奥致胜（北京）体育发展有限公司,,广西,A,,2025-03-03 23:59,https://docimg7.docs.qq.com/image/AgAACG-qqCHyihJLFqJAdqNqUKA_I-gR.png?w=1080&h=1167,❌,黄姚镇-东牌楼,已结束,贺州市人民政府,2025-04-13 10:16,160/120/80,报名时缴费,5000,,奥盈体育,黄姚古镇马拉松
半程 / 短距离,2025-01-24 10:00,官网/微信/小程序 / 数字心动,,5000/5000,,半程或以上,自行评估,,3354044034@qq.com,15686968938,,,广东,A,无,2025-02-10 23:59,,❌,连南瑶族自治县人民政府,已结束,连南瑶族自治县人民政府,2025-03-30 09:20,150/80,报名时缴费,10000,,,连南半程马拉松
全程 / 半程 / 短距离,2025-03-06 17:00,官网/微信/小程序,,2000/3000/5000,,未提及,未提及,,hbmalasong@163.com,16691918881,河南路跑文化传媒有限公司,,河南,A,,2025-04-05 23:59,,❌,,已结束,鹤壁市人民政府,2025-04-20 18:43,150/120/70,报名时缴费,10000,,鹤壁马拉松,鹤壁马拉松赛
半程 / 10km / 短距离,2025-03-03 11:30,数字心动 / 马拉马拉,,7000/3000/5000,,半程或以上,必须,,gxinwenti@163.com,13021703779,山东国信文体科技股份有限公司,,山东,A,无,2025-04-15 18:00,,❌,聊城市体育公园,已结束,聊城市人民政府,2025-05-01 00:00,120/100/50,报名时缴费,15000,,山东国信文体,聊城半程马拉松
半程 / 短距离,2025-03-05 10:00,官网/微信/小程序,,10000/2000,https://www.xlmarathon.com,未提及,自行评估,,xlmarathon@163.com,025-87775902,,2025-03-21 14:55,江苏,A / 精英,3月30日24点前可退,2025-03-12 18:00,,✔️,羊山公园,已结束,中国田径协会 / 南京市栖霞区人民政府 / 南京经济技术开发区管理委员会 / 南京市仙林大学城管理委员会,2025-04-13 08:58,200/80,中签后缴费,12000,,南京仙林半程马拉松,南京仙林半程马拉松
半程 / 短距离,2025-02-28 14:00,官网/微信/小程序,,12000/3000,,未提及,自行评估,,qlhmls@163.com,15753290516,阳光赛事运营（山东）有限公司 / 天津华宇慧晨文化传播有限公司,2025-03-14 15:14,天津,A,,2025-03-09 17:00,,✔️,麒麟广场,已结束,天津市宁河区人民政府,2025-04-20 10:35,120/60,报名时缴费,15000,,宁河七里海马拉松,天津·宁河七里海半程马拉松
半程 / 短距离,2025-01-25 10:00,官网/微信/小程序,,7000/5000,,未提及,自行评估,,3021829135@qq.com,15715745637,,,浙江,A / 标牌,,2025-03-12 12:00,,❌,,已结束,杭州市钱塘区人民政府,2025-04-13 10:45,160/80,报名时缴费,12000,,杭州钱塘女子半程马拉松,杭州钱塘女子半程马拉松
全程 / 半程,2025-01-01 10:00,官网/微信/小程序 / 数字心动 / 最酷,,1000/3200,,未提及,自行评估,,,18120777920,厦门工学院体育发展有限公司,2025-02-27 15:30,福建,B,,2025-02-15 23:59,,✔️,厦门工学院,已结束,福建德文教育投资集团有限公司 / 厦门工学院,2025-04-13 09:17,160/120,报名时缴费,4200,,,德文厦门工学院马拉松赛
半程 / 短距离,2025-01-11 10:00,官网/微信/小程序 / 马拉马拉 / 跑跑网(马拉松报名) / 我要赛 / 最酷,,12000/8000,,未提及,未提及,,,0510-86413280,浙江中迹体育发展有限公司,,江苏,A,无,2025-01-11 16:00,,❌,江阴体育中心,已结束,江阴市人民政府,2025-04-13 14:14,150/80,报名时缴费,20000,,江阴半程马拉松,江阴半程马拉松
半程,2025-02-18 10:30,数字心动 / 马拉马拉 / 最酷,,5000,,半程或以上,自行评估,,,010-68900260,北京华兴众泰体育科技有限责任公司,2025-03-13 14:54,北京,A,,2025-03-02 23:59,,✔️,,已结束,北京市体育局 / 北京市体育总会 / 北京市顺义区人民政府,2025-04-26 10:17,120,报名时缴费,5000,,北京顺义峪马,顺义后沙峪人才社区半程马拉松
10km / 短距离,2025-03-03 10:00,官网/微信/小程序 / 数字心动 / 马拉马拉,,2000/3000,http://10k.haidian-marathon.com,未提及,自行评估,,haidianmarathon@163.com,18511942195,北京中锐体育产业有限公司,2025-03-20 11:11,北京,A / WA,个人不可抗力原因可申请退赛,2025-03-09 18:00,,✔️,中关村展示中心会议中心,已结束,中国田径协会 / 北京市海淀区人民政府,2025-04-06 09:07,99/66,报名时缴费,5000,,海淀马拉松,中国田径协会10公里精英赛（北京·海淀站）
半程 / 短距离,2025-01-26 10:00,官网/微信/小程序 / 数字心动 / 第一赛道,,4000/6000,https://changyang.sport-china.cn,10km及以上,可用完赛证书,,changyangmarathon@126.com,19186256306,湖北体育产业集团长江赛事运营有限公司 / 路越（上海）体育发展有限公司,,湖北,A,3月31日前可退费,2025-03-31 18:00,,❌,土家源广场,已结束,湖北省体育局 / 宜昌市人民政府,2025-04-20 09:54,130/50,报名时缴费,10000,,长阳半程马拉松,湖北·长阳清江半程马拉松
半程 / 短距离,2025-02-10 10:00,官网/微信/小程序 / 数字心动 / 马拉马拉,,7000/3000,,未提及,必须,,info@beyondrunning.cn,400-100-8965,,,江西,A,无,2025-03-15 18:00,,❌,望湖亭,已结束,永修县人民政府,2025-04-13 10:49,100/50,报名时缴费,10000,,踏秀,江西永修半程马拉松赛
全程 / 半程,2024-12-30 10:00,官网/微信/小程序 / 数字心动,,10000/25000,https://chengdu.shuzixindong.com,,,,info@riseunion.com,400-84-42195,北京北奥集团有限责任公司 / 四川锐思联合体育文化发展有限公司,2025-02-21 10:05,四川,A,2025年3月6日前可退出,2025-02-08 22:00,,✔️,,已结束,成都市人民政府,2025-03-30 17:57,200/200,报名时缴费,35000,,成都世遗马拉松,成都世遗马拉松
全程 / 半程 / 短距离,2025-02-21 10:00,官网/微信/小程序,,1000/2000/3000,,未提及,自行评估,,jinanlupaowenhua@foxmail.com,0531-87942195,济南路跑文化传播有限公司,,山东,A,无,2025-03-24 17:00,,❌,潍坊市峡山区市民活动中心,已结束,潍坊市体育局 / 潍坊峡山生态经济开发区管理委员会,2025-04-20 14:42,150/100/50,报名时缴费,6000,,环峡山湖马拉松,环峡山湖马拉松
半程 / 中距离 / 短距离,2025-02-17 14:00,官网/微信/小程序 / 数字心动 / 第一赛道,,8000/5000/5000,http://half.yichangmarathon.com,半程或以上,可用完赛证书,,ychalfmarathon@163.com,15320659909,,2025-03-24 11:03,湖北,A,可改项目,2025-03-20 18:00,,✔️,,已结束,宜昌市人民政府,2025-04-13 11:20,130/90/70,报名时缴费,18000,,宜昌马拉松,宜昌半程马拉松
全程 / 半程 / 短距离,2025-02-27 10:00,官网/微信/小程序 / 数字心动,,3000/7000/10000,https://www.hb-shiyanmarathon.com,半程或以上,自行评估,,shiyanmarathon@126.com,15549942195,,2025-03-26 11:01,湖北,A,无,2025-03-18 17:00,,✔️,十堰市奥林匹克体育中心-广场,已结束,湖北省体育局 / 十堰市人民政府,2025-04-13 14:45,160/130/70,报名时缴费,20000,,十堰体育,十堰马拉松
半程 / 短距离,2025-03-26 15:00,官网/微信/小程序 / 数字心动,,4000/1000,,未提及,自行评估,,hexianmalasong@126.com,,亳州药都体育科技有限公司,,安徽,B,,2025-04-02 22:00,,❌,,已结束,和县人民政府 / 马鞍山市体育局,2025-04-20 00:00,100/50,报名时缴费,5000,,和县文旅,和县半程马拉松
全程 / 半程 / 中距离 / 短距离,2025-01-09 14:00,官网/微信/小程序 / 第一赛道,,7000/12000/6000/10000,https://liuzhou.gusto.cn/,半程或以上,自行评估,"https://docimg3.docs.qq.com/image/AgAACG-qqCEDnbhz0-5LMZvRcjTVGBXg.png?w=1080&h=1296, https://docimg10.docs.qq.com/image/AgAACG-qqCEuZM7xEuNJA6yeVne7C4A-.png?w=1080&h=1296, https://docimg10.docs.qq.com/image/AgAACG-qqCHMN-Lu3uRMgbnVmqXocCem.png?w=640&h=427",liuzhou@sport-china.cn,,广西新中体育有限责任公司,2025-02-14 17:56,广西,A,1.退赛退费：（1）已提交报名信息及支付的选手，在退改服务期限内，可在订单页面自行办理退费服务。（2）完成缴费后24小时内的报名订单，申请退赛退费的将不收取任何费用，报名费将在申请后1个工作日内全额原路退回。（3）完成缴费后超过24小时的报名订单，申请退赛退费的不论项目均需收取20元/次的服务费，扣除相应服务费后剩余费用在申请后1个工作日内原路退回。2.改换项目：（1）需要更换项目的选手，在退改服务截止前，可先进行退赛退费操作后，重新报名需改换的项目。（2）从短距离项目改长距离项目者，还须符合长距离项目参赛条件并通过审核后方能获得参赛资格。3.退改服务期限：2月9日退费服务系统关闭，将不再受理任何退费申请。4.由组委会审核报名资质不符合者，在报名截止前可以重新提交符合要求的资格证书，在报名截止后不能再重新提交，资格审核不通过的选手、不中签选手的报名费将在抽签结果公布后的7个工作日内全额原路退回。,2025-02-09 18:00,https://docimg5.docs.qq.com/image/AgAACG-qqCFct-3Pw9FApK2IdA0Kb1rF.png?w=1280&h=1697,✔️,柳江市民广场,已结束,广西壮族自治区体育局 / 柳州市人民政府 / 中国警察网,2025-03-30 17:42,180/150/80/70,报名时缴费,35000,,第一赛道、柳州马拉松,柳州马拉松
半程 / 短距离,2025-01-22 14:00,官网/微信/小程序 / 数字心动,,13000/2000,https://www.ratelsports.cn,半程或以上,自行评估,https://docimg6.docs.qq.com/image/AgAACG-qqCE2AC_NsWRGKYT1pDbtsSrr.jpeg?w=1280&h=1077,zdsc@sgugroup.com,18661635367,青岛中德体育文化传播有限公司 / 青岛平头体育有限公司,2025-02-26 11:09,山东,B,无,2025-02-14 17:00,https://docimg6.docs.qq.com/image/AgAACG-qqCHarHIR0WJDc6A9Q7bB9kko.jpeg?w=1280&h=1077,✔️,金沙滩啤酒城,已结束,青岛西海岸新区管委,2025-04-06 13:49,150/80,报名时缴费,15000,,中德文体、青岛西海岸半程马拉松,青岛西海岸半程马拉松
半程 / 10km / 短距离,2025-02-21 09:50,官网/微信/小程序 / 数字心动,,7000/3000/10000,,未提及,未提及,,wuzhoumalasong@163.com,18076642195,广州万达体育发展有限公司,,广西,A,无,2025-03-20 18:00,,❌,梧州市图书馆,已结束,广西壮族自治区体育局 / 梧州市人民政府,2025-04-13 10:50,120/80/50,报名时缴费,20000,,,梧州半程马拉松
全程 / 半程 / 10km / 短距离,2025-02-13 10:00,官网/微信/小程序 / 数字心动,,5000/7000/5000/5000,,未提及,自行评估,,mlsfuyang@163.com,,,2025-03-05 15:32,安徽,A / WA,无,2025-02-28 23:59,,✔️,,已结束,安徽省体育局 / 阜阳市人民政府,2025-04-20 14:19,150/120/100/80,报名时缴费,22000,,阜阳旅游,阜阳马拉松赛暨中国田径协会10公里精英赛（阜阳站）
