报名渠道,主办单位,报名开启时间,状态,赛事等级,完赛经历要求,出签日期,分项规模,起点,比赛路线,抽签,退出机制,联系电话,赛事,创建时间,官网,总规模,报名费,省份,最后编辑时间,报名截止时间,运营单位,官方邮箱,比赛项目,比赛日期,缴费时间,体检报告,微信公众号,奖牌
官网/微信/小程序 / 第一赛道 / 京东go,柳州市人民政府,2026-01-16 14:00,已结束,A,半程或以上,2026-02-28 00:00,10000/15000,柳州市河东公园-市民广场,,✔️,"1.退赛退费：（1）已提交报名信息及支付的选手，在退改服务期限内，可在订单页面自行办理退费服务。（2）完成缴费后24小时内的报名订单，申请退赛退费的将不收取任何费用，报名费将在申请后1个工作日内全额原路退回。（3）完成缴费后超过24小时的报名订单，申请退赛退费的不论项目均需收取20元/次的服务费，扣除相应服务费后剩余费用在申请后1个工作日内原路退回。
2.改换项目：（1）需要更换项目的选手，在退改服务截止前，可先进行退赛退费操作后，重新报名需改换的项目。（2）从短距离项目改长距离项目者，还须符合长距离项目参赛条件并通过审核后方能获得参赛资格。
3.退改服务期限：2月15日退费服务系统关闭，将不再受理任何退费申请。",,柳州马拉松,,https://liuzhou.gusto.cn/,25000,190/150,广西,,2026-02-15 18:00,广西新中体育有限责任公司,liuzhou@sport-china.cn,全程 / 半程,2026-03-29 00:00,报名时缴费,自行评估,第一赛道、柳州马拉松,
官网/微信/小程序 / 智赛通 / 数字心动,中国田径协会 / 无锡市锡山区人民政府,2026-01-31 10:00,已结束,A / WA,未提及,2026-02-27 00:00,3000/2000,桃心小岛露营基地,,✔️,,18921166253,中国田径协会10公里精英赛（无锡·阳山站）,,,5000,150,江苏,,2026-02-14 17:00,,kf@hsqmjs.com,10km / 短距离,2026-03-29 00:00,报名时缴费,自行评估,惠聚精彩,
官网/微信/小程序 / 数字心动,天津市宁河区人民政府,2026-03-07 14:00,已结束,A,半程或以上,2026-03-19 00:00,8000,七里海大道与产业大道交叉口,,✔️,无,13752561839,天津·宁河七里海半程马拉松,,,8000,120,天津,,2026-03-13 17:00,广州悦跑信息科技有限公司,,半程,2026-04-19 00:00,报名时缴费,自行评估,宁河七里海马拉松,
智赛通 / 跑跑网,梧州市人民政府,2026-02-06 10:00,已结束,A,10km及以上,,12000,,,❌,,029-85361589,梧州半程马拉松,,https://www.wuzhou-marathon.com,12000,120,广西,,2026-02-28 23:59,威赢赛事运营有限公司,wuzhoumarathon@163.com,半程,2026-04-19 00:00,,自行评估,梧州文旅、威赢赛事,
官网/微信/小程序 / 数字心动,中国田径协会 / 无锡太湖国家旅游度假区管委会,2026-02-12 10:00,已结束,A / WA,未提及,2026-03-10 00:00,4500/300,灵山胜境,,✔️,,0512-65722565,中国田径协会10公里精英赛（无锡·马山站）,,,4800,150/100,江苏,,2026-03-03 17:00,江苏苏奥体育科技有限公司,suaosports@163.com,10km / 短距离,2026-04-19 00:00,报名时缴费,自行评估,魅力马山、QueenRun,
官网/微信/小程序 / 数字心动 / 润赛美佳,四川省田径协会 / 犍为县人民政府,2026-01-16 12:00,已结束,A,未提及,,5000,远洋广场,,❌,,18008053490,乐山犍为茉莉之乡半程马拉松,,,5000,180,四川,,2026-01-25 17:00,成都中体大健康体育文化传播有限公司,,半程,2026-03-29 00:00,报名时缴费,必须,,
官网/微信/小程序,陕西省体育局 / 延安市人民政府,2026-02-10 10:00,已结束,A,未提及,2026-03-10 00:00,3000/12000,延安市人民公园,,✔️,,029-88225136,延安新区马拉松赛,,,15000,180/150,陕西,,2026-02-28 23:59,陕西体育集团西风烈赛事有限公司,,全程 / 半程,2026-04-19 00:00,报名时缴费,自行评估,陕体西风烈,
官网/微信/小程序,信阳市教育体育局 / 新县人民政府,2026-01-12 15:00,已结束,A,未提及,,6000,新县广场,https://docimg5.docs.qq.com/image/AgAACG-qqCE1gUys-EJAko99KZdZSda9.png?w=1080&h=1526,❌,,19561319619,新县半程马拉松,,,6000,130,河南,,2026-03-12 15:00,,2829432202@qq.com,半程,2026-04-12 00:00,报名时缴费,自行评估,新县半程马拉松、炫彩酷跑,
官网/微信/小程序 / 数字心动,湖州市人民政府,2026-02-05 10:00,已结束,A,未提及,2026-03-04 00:00,3000/13000,湖州市奥体中心,,✔️,,0572-2587703,湖州马拉松,,https://hz.xcmsports.com/,16000,180/160,浙江,,2026-02-26 18:00,厦门文广体育有限公司 / 湖州市体育产业发展有限公司,huzhoumarathon@126.com,全程 / 半程,2026-04-12 00:00,报名时缴费,自行评估,湖州马拉松,
官网/微信/小程序 / 数字心动,中国田径协会 / 漳州市芗城区人民政府,2026-03-30 10:00,已结束,A / WA,未提及,2026-04-17 00:00,4000/1000,日昇广场,,✔️,,15880408497,中国田径协会10公里精英赛（漳州·芗城站）,,,5000,100/60,福建,,2026-04-15 22:00,,412506154@qq.com,10km / 短距离,2026-04-26 00:00,报名时缴费,自行评估,漳州马拉松,
京东go / 数字心动,北京市体育局 / 北京市经济和信息化局 / 北京经济技术开发区管委会,2026-03-03 16:00,已结束,A,10km及以上,2026-03-15 00:00,12000,通明湖公园,,✔️,,400-825-8525,北京亦庄半程马拉松,,https://etown-halfmarathon.ejplay.com.cn,12000,120,北京,,2026-03-09 12:00,,etowenmarathon@163.com,半程,2026-04-19 00:00,报名时缴费,自行评估,北京亦庄半程马拉松,
官网/微信/小程序 / 马拉马拉,北京市体育局,2026-02-14 18:00,已结束,A / 标牌,10km及以上,2026-03-13 00:00,22000,天安门广场,,✔️,,13161117089,北京半程马拉松,,https://beijing-halfmarathon.btime.com/#/home,22000,120,北京,,2026-02-25 12:00,,beijing-halfmarathon@brtv.org.cn,半程,2026-04-12 00:00,中签后缴费,自行评估,北京半程马拉松,
官网/微信/小程序,盐城市人民政府,2026-01-14 10:00,已结束,A / 标牌,未提及,2026-02-26 00:00,5000/10000,盐城奥体中心-体育场,,✔️,无,025-87775902,盐城马拉松,,https://www.jsyc-marathon.com,15000,160/160,江苏,,2026-02-09 18:00,南京善跑体育科技有限公司,ycmls520@163.com,全程 / 半程,2026-03-29 00:30,报名时缴费,自行评估,盐城马拉松,
官网/微信/小程序 / 马拉马拉 / 数字心动,扬州市人民政府,2026-01-22 10:00,已结束,A / 白金,10km及以上,2026-02-07 00:00,23000,扬州市民中心广场,,✔️,有,18618329968,扬州半程马拉松,,https://www.yzmls.com/,23000,180,江苏,,2026-01-28 20:00,中奥路跑(北京)体育管理有限公司,yzmls@yzmls.com,半程,2026-03-29 00:00,中签后缴费,自行评估,扬州半程马拉松,
官网/微信/小程序 / 数字心动,江西省体育局 / 九江市人民政府,2026-02-06 10:00,已结束,A,未提及,2026-03-03 00:00,8000/12000,九江市人民政府,,✔️,无,19905197127,九江马拉松,,,20000,160/150,江西,,2026-02-27 18:00,,jiujiangmarathon@126.com,全程 / 半程,2026-03-29 00:00,中签后缴费,自行评估,九江马拉松,
官网/微信/小程序 / 数字心动,绍兴市上虞区人民政府,2026-02-02 15:00,已结束,A,10km及以上,,15000,上虞体育中心,,❌,,0575-82200455,绍兴·上虞半程马拉松,,https://www.shangyu-marathon.com,15000,120,浙江,,2026-03-03 17:00,广州博润体育科技有限公司,shangyumls@163.com,半程,2026-04-12 00:00,报名时缴费,自行评估,绍兴上虞半程马拉松,
官网/微信/小程序 / 数字心动,和县人民政府 / 马鞍山市体育局,2026-02-10 10:00,已结束,B,未提及,2026-03-17 00:00,5000,和县体育中心,,✔️,,,和县半程马拉松,,,5000,100,安徽,,2026-03-10 22:00,,hexianmalasong@126.com,半程,2026-04-19 00:00,报名时缴费,自行评估,和县文旅,
官网/微信/小程序 / 数字心动 / 马拉马拉,青岛市人民政府,2025-12-24 15:00,已结束,A / 精英,半程或以上,2026-01-14 00:00,13000/12000,青岛市人民政府,,✔️,"1.预报名时间内，所有报名者可申请取消预报名。
2.已支付的报名成功者在2026年1月14日15:00至2026年2月11日12:00期间内可申请取消报名；2026年1月19日17:00前申请取消，原报名项目报名费全额退还；2026年1月19日17:00后申请，退还原报名项目报名费的75%。
3.候补报名时间内，所有候补报名者可申请取消候补报名并退款。
4.其余时间内不可申请取消（预）报名。
5.上述退款将在10个工作日内通过原支付渠道退回。",15689901187,青岛马拉松,,https://www.qd-mls.com,25000,200/160,山东,,2026-01-06 17:00,青岛青马爱跑体育文化有限公司,zixun@qd-mls.com,全程 / 半程,2026-04-19 00:33,中签后缴费,自行评估,青岛国际马拉松,
官网/微信/小程序 / 数字心动,芜湖市人民政府,2025-12-22 10:00,已结束,A,未提及,2026-02-05 00:00,6000/1000,芜湖航空新城运动中心,,✔️,无,,芜湖马拉松,,,16000,160/120,安徽,,2026-01-25 16:00,安徽波动马拉松赛事运营管理有限公司,wuhumarathon@163.com,全程 / 半程,2026-03-29 00:00,报名时缴费,自行评估,航空芜马,
官网/微信/小程序 / 数字心动 / 马拉马拉 / 润赛美佳 / 最酷 / 跑跑网,鄂州市文化和旅游局（体育局） / 鄂州市梁子湖区人民政府,2026-01-20 15:00,已结束,B,10km及以上,,4000,梧桐湖码头,,❌,,15871412919,鄂州梁子湖半程马拉松,,,4000,100,湖北,,2026-03-02 23:59,,2658836739@qq.com,半程,2026-04-12 00:00,报名时缴费,自行评估,鄂州梁子湖半程马拉松,
官网/微信/小程序,"""中華民國路跑協會""",2025-11-25 16:00,已结束,AIMS,未提及,,6000/5000/1500,台北市政府,,❌,有,(886)02-25855659,WOMEN RUN TPE,,https://www.womenruntpe.com/,12500,NT$1400/900/600,台湾,,2026-02-25 17:00,,service@sportsnet.org.tw,半程 / 10km / 短距离,2026-04-12 00:00,报名时缴费,未提及,,
官网/微信/小程序 / 数字心动,垫江县人民政府,2026-01-06 10:00,已结束,A,未提及,,4000/8000,三合湖湿地公园,,❌,3月6日前可退,17316784625,重庆垫江牡丹马拉松,,,12000,150/120,重庆,,2026-01-31 23:59,,,全程 / 半程,2026-03-29 19:50,报名时缴费,自行评估,重庆垫江马拉松,
官网/微信/小程序 / 数字心动,中国田径协会 / 嘉善县人民政府,2026-03-25 10:00,已结束,A / WA,未提及,,2500/1000,嘉善大云旅游度假区,,❌,无,18058756033,中国田径协会10公里精英赛（嘉善·大云）,,,3500,100/80,浙江,,2026-04-10 10:00,浙江午马精英体育发展有限公司,178827103@qq.com,10km / 短距离,2026-04-26 00:00,报名时缴费,自行评估,午马体育,
官网/微信/小程序,南京市栖霞区人民政府 / 南京经济技术开发区管理委员会 / 南京市仙林大学城管理委员会,2026-01-08 10:03,已结束,A / 精英,未提及,2026-02-03 00:00,12000,羊山公园-西门,,✔️,2月12日18点前可以退,025-87775902,南京仙林半程马拉松,,https://www.xlmarathon.com,12000,200,江苏,,2026-01-23 18:00,南京善跑体育科技有限公司,xlmarathon@163.com,半程,2026-04-12 00:00,中签后缴费,自行评估,南京仙林半程马拉松,
官网/微信/小程序 / 汇跑参赛助手 / 数字心动,淮安市人民政府,2026-01-21 10:00,已结束,A / 标牌,半程或以上 / 10km及以上,2026-02-06 00:00,8000/7000,,https://docimg6.docs.qq.com/image/AgAACG-qqCEQQCcRi51MJYSSWk7qxqAo.jpeg?w=1280&h=1717,✔️,3月22日之后不可退出,400-99-42195,淮安马拉松,,https://huaian.marathon.org.cn,15000,160/160,江苏,,2026-01-27 17:00,无锡汇跑体育有限公司,kefu@ihuipao.com,全程 / 半程,2026-04-12 00:00,中签后缴费,自行评估,汇跑赛事、淮安马拉松,
官网/微信/小程序 / 数字心动,来凤县人民政府 / 龙山县人民政府,2026-01-16 10:00,已结束,A,半程或以上 / 10km及以上,2026-03-13 00:00,3500/7500,来凤县文体局文化广场,,✔️,,19907155622,湘鄂龙凤马拉松,,,11000,150/120,湖北,,2026-03-10 18:00,北京互通天地国际体育文化有限公司,longfengmls@126.com,全程 / 半程,2026-04-11 00:00,报名时缴费,自行评估,湘鄂龙凤双城马拉松,
官网/微信/小程序 / 数字心动 / 马拉马拉 / 跑跑网 / 马拉松报名网,贵州省体育局 / 遵义市人民政府,2026-02-26 09:00,已结束,A,半程或以上 / 10km及以上,2026-03-13 00:00,4000/8000,奥体中心,,✔️,,0851-28975933,遵义马拉松,,,12000,198/158,贵州,,2026-03-10 23:59,,,全程 / 半程,2026-04-12 00:00,中签后缴费,自行评估,遵义马拉松,
官网/微信/小程序,宿迁市人民政府,2025-12-18 10:00,已结束,A,未提及,2026-02-02 00:00,4000/8000,项王故里景区,,✔️,无,025-87775902,宿迁马拉松,,https://www.sqmarathon.com,12000,160/160,江苏,,2026-01-14 18:00,南京魔盒信息科技有限公司,sq-marathon@xempower.com.cn,全程 / 半程,2026-03-29 19:43,报名时缴费,自行评估,宿迁城市马拉松,
官网/微信/小程序 / 数字心动,永修县人民政府 / 永修县农旅投资开发有限公司,2026-01-27 10:00,已结束,A,未提及,,10000,,,❌,,19905197127,江西永修半程马拉松赛,,,10000,120,江西,,2026-03-15 18:00,,,半程,2026-04-12 00:00,报名时缴费,自行评估,有迈路跑,
官网/微信/小程序 / 数字心动,湖南省体育局 / 岳阳市人民政府,2026-02-03 10:00,已结束,A,半程或以上 / 10km及以上,,2000/10000,"""守护好一江碧水""首倡地展陈馆",,❌,,,岳阳马拉松,,,12000,150/140,湖南,,2026-02-23 17:00,,,全程 / 半程,2026-03-29 00:00,报名时缴费,自行评估,岳阳马拉松,
官网/微信/小程序,十堰市人民政府,2026-03-10 15:00,已结束,A,半程或以上 / 10km及以上,2026-04-05 10:15,3000/9000,十堰市奥林匹克体育中心,,✔️,,,十堰马拉松,,,12000,180/150,湖北,,2026-04-01 15:00,,shiyanmarathon@126.com,全程 / 半程,2026-04-19 00:00,报名时缴费,自行评估,十堰马拉松,
官网/微信/小程序 / 数字心动,合肥市体育局 / 肥西县人民政府,2026-02-14 14:00,已结束,B,未提及,2026-03-11 00:00,6000,山门广场,,✔️,,,合肥紫蓬山半程马拉松,,,6000,150,安徽,,2026-02-28 10:00,,zpsbcmls@126.com,半程,2026-04-12 00:00,报名时缴费,自行评估,合肥马拉松,
官网/微信/小程序 / 第一赛道,陕西省体育局 / 杨凌示范区管委会,2026-01-29 14:00,已结束,A / 标牌,半程或以上 / 10km及以上,2026-03-05 00:00,8000/12000,杨凌农展广场,,✔️,,,杨凌农科城马拉松赛,,https://www.yangling-marathon.com,20000,200/180,陕西,,2026-02-28 18:00,广东新中体育集团有限公司,yangling@gustomail.cn,全程 / 半程,2026-04-12 00:00,报名时缴费,自行评估,杨凌农科城马拉松、第一赛道,
官网/微信/小程序 / 数字心动,北京市通州区人民政府 / 北京市国有资产经营有限责任公司,2026-03-11 16:00,已结束,A,半程或以上,2026-03-25 00:00,12000,中国人民大学(通州校区)-东南门,,✔️,,4006306116,北京城市副中心马拉松,,http://bjmcmarathon.chinaath.com,12000,180,北京,,2026-03-20 12:00,,bjmcm@beiao.com,全程,2026-04-19 00:00,报名时缴费,自行评估,北京城市副中心马拉松,
官网/微信/小程序 / 数字心动,渭南市体育局 / 富平县人民政府,2026-01-06 10:00,已结束,B,未提及,,8000,富昌大桥,,❌,,010-53383535,富平半程马拉松,,,8000,150,陕西,,2026-02-05 18:00,北京双奥体育文化产业集团有限公司,shuangao66@163.com,半程,2026-04-12 00:00,,自行评估,富平半程马拉松,
官网/微信/小程序,雄安新区管委会,2026-01-28 10:00,已结束,A,半程或以上 / 10km及以上,2026-02-12 18:03,2000/10000,雄安城市计算(超算云)中心,,✔️,,16613098927,雄安马拉松,,https://www.xa42195.com,12000,150/100,河北,,2026-02-03 18:00,北京中迹体育管理有限公司,xionganmarathon@163.com,全程 / 半程,2026-04-12 00:00,报名时缴费,自行评估,雄安马拉松官方公众号,
官网/微信/小程序 / 数字心动 / 润赛美佳 / 最酷,山东广播电视台 / 威海市体育局 / 荣成市人民政府,2026-02-26 14:30,已结束,A,半程或以上 / 10km及以上,2026-03-16 00:00,3000/7000,荣成奥林匹克中心,,✔️,3月20日12:00前可退出,0531-66661234,荣成滨海马拉松,,http://rongchengmls.iqilu.com/,10000,180/150,山东,,2026-03-06 15:00,山东广播电视台,rongchengmls@163.com,全程 / 半程,2026-04-19 00:00,中签后缴费,自行评估,荣成滨海马拉松,
官网/微信/小程序 / 数字心动,阜阳市人民政府,2026-02-06 10:00,已结束,A,未提及,2026-03-13 00:00,5000/10000,阜阳市规划展示馆,,✔️,,,阜阳马拉松赛,,,15000,150/120,安徽,,2026-03-06 22:00,,mlsfuyang@163.com,全程 / 半程,2026-04-12 00:00,报名时缴费,自行评估,阜阳旅游,
官网/微信/小程序 / 数字心动 / 马拉马拉 / 高德地图 / 最酷 / 跑跑网,连南瑶族自治县人民政府,2026-01-22 10:00,已结束,A,10km及以上,,5000,连南瑶族自治县人民政府,,❌,无,18475817461,连南半程马拉松,,,5000,168,广东,,2026-03-08 17:00,,lnmarathon@163.com,半程,2026-03-29 00:00,报名时缴费,自行评估,连南半程马拉松,
官网/微信/小程序 / 数字心动 / 马拉马拉 / 高德地图,北京市密云区人民政府,2026-03-18 10:00,已结束,A / 精英,半程或以上 / 10km及以上,2026-03-31 10:15,5000/10000,北京市密云区青少年宫,,✔️,4月5日前可退出,010-53899658,密云马拉松,,,15000,200/180,北京,,2026-03-23 14:00,北京中锐体育产业有限公司,miyunmarathon@126.com,全程 / 半程,2026-04-26 00:00,中签后缴费,自行评估,密云生态马拉松,
官网/微信/小程序 / 数字心动,湖北省体育局 / 咸宁市人民政府,2026-01-22 10:00,已结束,A,未提及,2026-03-06 00:00,4000/9000,咸宁人民广场,,✔️,,027-59882567,咸宁马拉松,,https://www.xianningmarathon.com,13000,180/150,湖北,,2026-02-25 18:00,湖北体育产业集团长江赛事运营有限公司,xianningmarathon@163.com,全程 / 半程,2026-03-29 00:00,报名时缴费,自行评估,咸宁马拉松,
官网/微信/小程序,上海市松江区人民政府,2026-01-29 10:00,已结束,A,未提及,2026-03-04 00:00,10000,上海欢乐谷,,✔️,2月28日前可退,025-87775902,上海佘山半程马拉松,,https://www.sj-marathon.com,10000,200,上海,,2026-02-13 18:00,南京魔盒信息科技有限公司,sheshan-marathon@imohoo.com,半程,2026-04-12 00:00,报名时缴费,自行评估,上海佘山半程马拉松,
官网/微信/小程序,江阴市人民政府,2026-01-15 10:00,已结束,A,未提及,2026-02-02 00:00,15000,江阴体育中心,,✔️,,0510-86413280,江阴半程马拉松,,,15000,150,江苏,,2026-01-24 17:00,浙江中迹体育发展有限公司,jiangyinbanma@163.com,半程,2026-04-12 00:00,中签后缴费,自行评估,江阴半程马拉松,
官网/微信/小程序,大连市人民政府,2026-02-08 10:00,已结束,A / 精英 / AIMS,半程或以上 / 10km及以上,2026-03-06 00:00,16000/14000,大连东港商务区,,✔️,报名期间可退；出签后3月11日18点前可退,0411-84802607,大连马拉松赛,,https://httpsL//www.dlmls.org,30000,180/150,辽宁,,2026-02-12 18:00,华润文化体育发展有限公司,dalianmarathon@126.com,全程 / 半程,2026-04-26 00:00,中签后缴费,自行评估,大连马拉松赛,
官网/微信/小程序 / 数字心动,民权县人民政府,2026-01-21 10:00,已结束,B,未提及,,2000/5000,民权县委党校,,❌,,19286685188,民权马拉松,,,7000,150/120,河南,,2026-03-27 10:00,,minquanmls@163.com,全程 / 半程,2026-04-19 00:00,报名时缴费,自行评估,民权体育,
数字心动 / 最酷 / 马拉马拉 / 跑跑网 / 润赛美佳 / 智赛通,中新天津生态城管理委员会,2026-01-26 11:00,已结束,B,10km及以上,2026-02-08 00:00,10000,国家海洋博物馆,,✔️,有退出及候补,18511305012,中新天津生态城半程马拉松,,,10000,150,天津,,2026-02-02 15:00,北京初美体育文化发展有限公司,stcmarathon@163.com,半程,2026-04-12 00:00,报名时缴费,自行评估,生态城精彩赛事,
官网/微信/小程序,杭州市富阳区人民政府,2026-03-24 10:00,已结束,B,未提及,2026-04-08 10:14,10000,富阳区文化中心,,✔️,,13928422907,杭州富阳半程马拉松,,https://www.fymls.com,10000,150,浙江,,2026-03-29 14:00,深圳市五环体育产业发展有限公司,fuyangmarathon@163.com,半程,2026-04-19 00:00,报名时缴费,自行评估,杭州富阳半程马拉松赛,
官网/微信/小程序 / 数字心动,重庆市两江新区人民政府筹备组 / 重庆市妇女联合会 / 重庆广播电视集团（总台）,2026-01-08 10:00,已结束,A,未提及,2026-02-12 00:00,15000,鎏嘉码头,,✔️,开赛前15天因病可退,13368251109,重庆女子半程马拉松,,https://www.sherown.com,15000,180,重庆,,2026-02-02 23:59,重庆市江北区文化旅游开发有限公司 / 开承体育文化产业（重庆）有限公司,kctycq@163.com,半程,2026-03-29 00:00,报名时缴费,自行评估,重庆女马,
数字心动,定州市人民政府,2026-01-16 10:00,已结束,A,未提及,2026-01-30 00:00,15000,定州文体中心,,✔️,,18733216831,定州半程马拉松,,,15000,160,河北,,2026-01-25 17:00,河北乐跑体育发展有限公司,dzmalasong520@163.com,半程,2026-04-19 00:00,报名时缴费,自行评估,定州马拉松,
官网/微信/小程序 / 数字心动,仙桃市人民政府,2026-01-16 15:00,已结束,A,半程或以上 / 10km及以上,2026-02-13 00:00,3000/9000,荣怀学校,,✔️,,19720273211,仙桃马拉松,,http://xiantao-marathon.com,12000,180/150,湖北,,2026-02-10 17:00,,marathonhubei@126.com,全程 / 半程,2026-03-29 00:00,报名时缴费,自行评估,仙桃马拉松,
官网/微信/小程序 / 数字心动 / 润赛美佳,宜宾市人民政府 / 四川省田径协会,2026-01-30 10:00,已结束,A,未提及,,4000/12000,三江路与学园街交叉口,,❌,,18008053490,宜宾长江首城马拉松,,,16000,180/150,四川,,2026-03-03 18:00,成都中体大健康体育文化传播有限公司,,全程 / 半程,2026-04-19 00:00,报名时缴费,自行评估,宜宾长江马拉松,
官网/微信/小程序,保定市人民政府,2026-02-24 10:00,已结束,A,未提及,2026-03-05 00:00,8000/12000,七一东路与锦湖北大街交叉口,,✔️,3月10日18:00可以取消报名,025-87775902,保定马拉松,,https://bdmth.xempower.cn,20000,120/100,河北,,2026-02-28 17:00,南京善跑体育科技有限公司,bdmarathon@xempower.com.cn,全程 / 半程,2026-04-19 00:00,中签后缴费,自行评估,保定马拉松,
官网/微信/小程序 / 数字心动,安庆市教育体育局 / 怀宁县人民政府,2026-01-15 10:00,已结束,B,未提及,2026-03-02 00:00,2000/5000,市民广场,,✔️,抽签前可退,17775390907,怀宁马拉松,,,7000,120/100,安徽,,2026-02-12 22:00,安徽波动马拉松赛事运营管理有限公司,2141436164@qq.com,全程 / 半程,2026-04-19 00:00,报名时缴费,自行评估,秀莓怀宁,
官网/微信/小程序 / 数字心动 / 马拉马拉,中国田径协会 / 北京市海淀区人民政府,2026-02-28 10:00,已结束,A / WA,10km及以上,2026-03-18 00:00,3000/3000,北京中关村国家自主创新示范区展示中心,,✔️,,18600742195,中国田径协会10公里精英赛（北京海淀站）,,https://10k.haidian-marathon.com,6000,99/66,北京,,2026-03-08 18:00,北京中锐体育产业有限公司,haidianmarathon@163.com,10km / 短距离,2026-04-06 00:00,报名时缴费,自行评估,海淀马拉松,
官网/微信/小程序 / 数字心动,蚌埠市人民政府,2026-02-26 10:00,已结束,A,未提及,2026-03-25 00:00,2000/10000,蚌埠市体育中心体育馆,,✔️,,,蚌埠马拉松,,,12000,120/120,安徽,,2026-03-17 10:00,安徽波动体育文化科技有限公司,bengbumls@163.com,全程 / 半程,2026-04-26 00:00,报名时缴费,自行评估,蚌埠马拉松,
官网/微信/小程序 / 数字心动,银川市体育局 / 银川市文化旅游广电局 / 银川市葡萄酒产业发展服务中心 / 银川市西夏区人民政府,2026-02-12 10:00,已结束,B,10km及以上,2026-03-18 00:00,5500,贺兰羿射箭主题综合运动中心,,✔️,,18795009943,宁夏贺兰山东麓半程马拉松路跑双季赛（花季赛）,,,5500,120(早鸟100),宁夏,,2026-02-26 17:00,,,半程,2026-04-19 00:00,报名时缴费,自行评估,宁夏贺兰山路跑双季赛,
官网/微信/小程序,杭州市余杭区人民政府,2026-02-06 10:00,已结束,A,半程或以上,,15000,杭州未来科技城学术交流中心,,❌,无,13388436994,杭州梦想小镇半程马拉松,,http://www.dream-marathon.com,15000,100,浙江,,2026-02-25 17:00,杭州立夏科技体育有限公司,dreamtown_marathon@163.com,半程,2026-03-29 00:00,报名时缴费,可用完赛证书,杭州梦想小镇马拉松,
官网/微信/小程序 / 数字心动 / 马拉马拉 / 最酷 / 润赛美佳,济宁市体育局 / 曲阜市人民政府,2026-01-06 10:00,已结束,B,未提及,,12000,曲阜市孔子国际会展中心,,❌,,19953736913,曲阜半程马拉松,,https://www.qufumarathon.com,12000,120,山东,,2026-02-06 23:59,,qfmarathon@163.com,半程,2026-04-19 00:00,报名时缴费,必须,圣城体育,
官网/微信/小程序,岱山县人民政府,2026-01-31 10:00,已结束,A,10km及以上,2026-02-13 00:00,4000,岱山体育馆,,✔️,,0580-4476012,岱山海岬半程马拉松,,,4000,150,浙江,,2026-02-12 18:00,北京中迹体育管理有限公司,dshjmarathon@163.com,半程,2026-03-29 00:00,报名时缴费,自行评估,岱山海岬半程马拉松,
数字心动,中国田径协会 / 厦门市同安区人民政府,2026-02-28 18:00,已结束,A / WA,10km及以上,2026-04-03 00:00,5000/3000,美峰体育公园,,✔️,,,中国田径协会10公里精英赛（厦门同安站）,,,8000,100/60,福建,,2026-03-31 18:00,,chinadreamsports@outlook.com,10km / 短距离,2026-04-26 00:00,报名时缴费,必须,梦想体育DreamSports,
官网/微信/小程序,,,待确定,精英,,,,,,,,,沈阳马拉松,,,,,辽宁,,,,,全程 / 半程,2026-09-13 00:00,,,,
官网/微信/小程序,,2026-06-10 15:00,待报名,认证中,,,,,,,,,威宁半程马拉松,,,10000,,贵州,,,,,半程,2026-08-23 00:00,,,,
官网/微信/小程序 / 数字心动 / 润赛美佳,昆明市人民政府,2026-05-18 14:00,待出签,A,10km及以上,2026-06-01 00:00,12000,昆明滇池国际会展中心,,✔️,,13529388388,昆明半程马拉松,,https://kunming-marathon.com,12000,180,云南,,2026-05-25 22:00,四川博捷体育文化传播有限公司,,半程,2026-06-21 00:00,报名时缴费,必须,昆明高原国际半程马拉松赛、博捷体育,
官网/微信/小程序 / 润赛美佳 / 数字心动,楚雄市人民政府,2026-05-18 10:00,报名中,认证中,半程或以上 / 10km及以上,,3000/7000,楚雄州文化活动中心(彝海北路),,✔️,,17787824975,楚雄马拉松,,https://chuxiongmarathon.shuzixindong.com,10000,180/150,云南,,2026-06-30 20:00,北京迅驰体育管理有限公司,cxmls@centurysports.com.cn,全程 / 半程,2026-08-02 00:00,报名时缴费,可用完赛证书,楚雄马拉松赛,
官网/微信/小程序 / 数字心动,吉林市人民政府 / 吉林省体育局,2026-04-09 12:00,已结束,A / 精英,未提及,2026-04-29 00:00,12000/18000,吉林市人民广场,,✔️,,18043728220,吉林市马拉松,,http://www.jilinmarathon.com,30000,180/160,吉林,,2026-04-23 18:00,,jilinmarathon@126.com,全程 / 半程,2026-05-31 00:00,中签后缴费,自行评估,吉林市马拉松,
官网/微信/小程序,,,待确定,标牌,,,,,,,,,西安马拉松,,,,,陕西,,,,,全程 / 半程,2026-10-18 00:00,,,,
官网/微信/小程序 / 数字心动,塔城地区行政公署,2026-05-28 18:00,待确定,B,10km及以上,,4000,塔城市千泉湖,,✔️,,18701560227,塔城半程马拉松,,,4000,80,新疆,,2026-06-14 17:00,,18701560227@163.com,半程,2026-06-21 00:00,报名时缴费,自行评估,2026塔城马拉松,
官网/微信/小程序,,,待确定,精英,,,,,,,,,哈尔滨马拉松,,,,,黑龙江,,,,,全程 / 半程,2026-08-30 00:00,,,,
官网/微信/小程序 / 数字心动,青岛西海岸新区管委,2026-03-20 14:00,已结束,B,未提及,2026-04-15 00:00,20000,金沙滩啤酒城,,✔️,,4000-666-375,青岛西海岸半程马拉松,,,20000,160,山东,,2026-04-03 17:00,青岛平头体育有限公司,,半程,2026-05-17 00:00,报名时缴费,未提及,青岛西海岸半程马拉松,
