分项规模,报名费,创建人,创建时间,官网,状态,省份,赛事等级,主办单位,报名开启时间,官方邮箱,奖牌,微信公众号,联系电话,开赛日期,最后编辑人,比赛项目,抽签,出签日期,运营单位,总规模,起点,最后编辑时间,赛事名称,比赛路线,报名截止时间
3000/7000/6000/6000,160/130/90,,,https://www.yichangmarathon.com,已结束,湖北,A1 / 标牌,湖北省体育局 / 宜昌市人民政府,2024-08-28 15:30,yichangmarathon@luyuesport.com,,宜昌马拉松,18871757853,2024-11-03 13:32,,全程 / 半程 / 中距离 / 短距离,✔️,2024-09-30 13:43,路越（上海）体育发展有限公司,22000,镇江阁,,宜昌马拉松,,2024-09-28 18:00
3000/6000/6000,150/120/50,,,,已结束,安徽,A1,滁州市人民政府 / 安徽省体育局,2024-08-05 10:00,chuzhoumls@163.com,,滁州马拉松,13083143929,2024-11-17 13:12,,全程 / 半程 / 短距离,✔️,2024-09-23 09:56,,15000,滁州奥体中心,,滁州马拉松,,2024-09-15 10:00
2000/3000/5000,100/80/50,,,,已结束,山东,A1,菏泽市人民政府 / 东明县人民政府,2024-08-24 09:00,632374032@qq.com,,速豹体育,15662748418,2024-11-03 10:05,,全程 / 半程 / 短距离,❌,,四川中奥致远体育文化传播有限公司,10000,体育公园,,菏泽东明马拉松,,2024-09-23 17:00
1500/2000/2500,80/60/50,,,,已结束,兵团,B类,新疆生产建设兵团第二师铁门关市,2024-09-05 11:00,19390788756@163.com,,铁门关马拉松,19390788756,2024-10-27 11:10,,半程 / 中距离 / 短距离,✔️,2024-10-06 09:27,深圳中赛体育产业发展有限公司,6000,铁门关城楼广场,,铁门关半程马拉松,,2024-09-30 17:00
8000/12000/15000,150/100/50,,,,已结束,山东,A1,山东省体育局 / 临沂市人民政府,2024-08-12 11:00,,,2024临沂马拉松,,2024-11-03 13:35,,全程 / 半程 / 短距离,❌,,山东国信文体科技股份有限公司,35000,,,临沂马拉松,,2024-10-15 23:59
8000/4000,,,,,已结束,广东,A1,佛山市顺德区人民政府,2024-08-28 14:00,,,顺德半程马拉松,,2024-11-10 13:35,,半程 / 短距离,✔️,2024-10-10 09:59,广州博润体育科技有限公司,12000,,,顺德半程马拉松,,2024-09-17 22:00
9000/14000/5000,180/160/80,,,https://sxym.org.cn,已结束,浙江,A1 / 精英,绍兴市人民政府,2024-08-28 10:00,sxmarathon@163.com,,绍兴马拉松,0575-88588981,2024-11-10 17:17,,全程 / 半程 / 短距离,✔️,2024-09-28 09:14,绍兴越马体育文化传播有限公司 / 厦门文广体育有限公司,28000,绍兴市奥体中心,,绍兴马拉松,,2024-09-17 17:00
1500/2500/6000,200/120/50,,,,已结束,新疆,B类,喀什市人民政府 / 喀什地区体育局,2024-09-30 10:00,kashimarathon@163.com,,喀什马拉松,0998-2227227,2024-11-03 13:19,,全程 / 半程 / 短距离,❌,,,10000,喀什市人民广场,,喀什马拉松,"https://docimg4.docs.qq.com/image/AgAACG-qqCHrwpRhORhMY5FaLiRWktPu.jpeg?w=5968&h=5826, https://docimg9.docs.qq.com/image/AgAACG-qqCGBuphxOXBFgrfPpcXgHn4H.png?w=4968&h=4514, https://docimg9.docs.qq.com/image/AgAACG-qqCGs55KEJtVLdon29raMN6Gs.jpeg?w=9392&h=6101",2024-10-10 23:59
10000/5000/5000,120/80/60,,,,已结束,湖北,A1,湖北省体育局 / 黄冈市人民政府,2024-08-06 10:00,,,,,2024-11-03 13:32,,半程 / 中距离 / 短距离,✔️,2024-09-30 14:43,湖北互通有道体育科技有限公司,20000,,,黄冈半程马拉松,,2024-09-28 18:00
4000/6000/6500,NT1450/1300/1100,,,https://www.tianzhongmarathon.com/,已结束,台湾,AIMS,"彰化縣政府 / ""中華民國舒康樂活運動協會"" / 彰化縣馬拉松路跑協會",2024-06-15 12:00,520running@gmail.com,,,(886)04-8752565,2024-11-10 14:39,,全程 / 超半马 / 中距离,✔️,2024-06-17 14:43,,16500,,,台灣米倉田中馬拉松,,2024-06-15 23:59
6000/12000/12000,180/150/80,,,http://www.jinan-marathon.com/,已结束,山东,A1,山东省体育局 / 济南市人民政府,2024-09-10 10:00,jnmls@jinan-marathon.com,,济南马拉松,13205409262,2024-10-27 13:29,,全程 / 半程 / 短距离,✔️,2024-09-26 09:04,山东文旅传媒集团有限公司,30000,大明湖风景名胜区,,济南（泉城）马拉松,,2024-09-16 17:00
5000/8000/2000,200/200/50,,,,已结束,安徽,A1,安徽省体育局 / 黄山市人民政府,2024-08-13 10:00,,,黄山马拉松赛,,2024-11-10 13:07,,全程 / 半程 / 短距离,✔️,2024-09-02 09:58,,15000,黄山区轩文学校,,黄山马拉松,,2024-08-27 22:00
7000/5000/3000,100/80/50,,,,已结束,安徽,A1,安徽省体育局 / 马鞍山市人民政府,2024-08-22 15:00,,"https://docimg8.docs.qq.com/image/AgAACG-qqCFEYC8T9OZPZ5CwnC0MTZb9.jpeg?w=1080&h=608, https://docimg8.docs.qq.com/image/AgAACG-qqCGfFmefsytNMJpHIyeMHfTz.jpeg?w=1080&h=608, https://docimg8.docs.qq.com/image/AgAACG-qqCGYmmcSOIRCWZ2dw1FxVeGr.jpeg?w=1080&h=608",采石矶马拉松,,2024-11-03 13:25,,半程 / 10km / 短距离,✔️,2024-09-29 14:42,安徽悦野在途体育文化有限公司 / 亳州药都体育科技有限公司,15000,采石矶景区北广场,,马鞍山采石矶半程马拉松暨中国田径协会10公里精英赛（马鞍山站）,https://docimg1.docs.qq.com/image/AgAACG-qqCHqnQJhFBJDxrPUVnvbEb4e.jpeg?w=1080&h=1938,2024-09-20 23:59
24000/6000,200/100,,,https://nj-marathon.cn,已结束,江苏,A1 / 精英,南京市人民政府 / 江苏省体育局 / 中共江苏省委宣传部,2024-09-06 10:00,kefu@ihuipao.com,,南京马拉松,400-99-42195,2024-11-17 00:00,,全程 / 短距离,✔️,2024-09-25 09:54,无锡汇跑体育有限公司,30000,南京奥林匹克体育中心(东门),,南京马拉松,https://docimg8.docs.qq.com/image/AgAACG-qqCEX8kOWFgVNDpzIG75x44KC.jpeg?w=1280&h=2357,2024-09-13 17:00
3000/4000/5000,150/100/40,,,,已结束,湖南,A1,湖南省体育局 / 张家界市人民政府,2024-08-20 17:00,,,,13875890767,2024-11-03 15:23,,全程 / 半程 / 短距离,❌,,湖南御峰体育文化集团有限公司,12000,贺龙体育中心,,张家界马拉松,,2024-09-30 18:00
7000/6000/6000,150/100/80,,,,已结束,湖北,A1,湖北省体育局 / 武汉东湖技术开发区管委会,2024-08-23 10:00,apply@wuhanmarathon.org,https://docimg2.docs.qq.com/image/AgAACG-qqCFcGqf1YP1KEJeCCOwrWGX1.png?w=1080&h=608,光谷马拉松,,2024-11-17 23:22,,全程 / 半程 / 中距离,✔️,2024-09-19 10:16,武汉汉马体育管理有限公司,19000,华中科技大学,,光谷马拉松,https://docimg9.docs.qq.com/image/AgAACG-qqCHK31xj8uhF7pYvVRjjoTCV.png?w=1080&h=635,2024-08-30 10:00
4000/3000/3000,100/60/50,,,,已结束,安徽,B类,颍上县人民政府,2024-08-20 10:00,3653283159@qq.com,,颍上马拉松,18269943117,2024-11-17 00:00,,半程 / 中距离 / 短距离,❌,,,10000,城北广场,,颍上半程马拉松,,2024-09-20 10:00
7000/10000/8000,150/150/80,,,https://www.taimis.com,已结束,山东,A1,山东省体育局 / 泰安市人民政府,2024-08-16 10:00,taima365@163.com,https://docimg1.docs.qq.com/image/AgAACG-qqCH8Vy_3sD1I9JXlP4oX0zdS.jpeg?w=5385&h=4670,泰安马拉松,0531-88881000,2024-11-03 13:32,,全程 / 半程 / 短距离,❌,,百视文体（北京）有限公司,25000,泰山国际会展中心,,泰安马拉松,,2024-09-26 18:00
3000/5000/4000,160/130/70,,,https://chenzhou.sport-china.cn,已结束,湖南,A1,湖南省体育局 / 郴州市人民政府,2024-08-23 14:00,chenzhoumls@gustomail.cn,,第一赛道、郴州马拉松,,2024-11-10 16:31,,全程 / 半程 / 短距离,❌,,广东新中体育集团有限公司,12000,,,郴州马拉松,,2024-10-20 23:59
5000/5000,100/60,,,,已结束,陕西,B类,咸阳市体育局 / 中共泾阳县委 / 泾阳县人民政府,2024-09-25 10:00,,,中国泾阳,15771775303,2024-11-03 17:41,,半程 / 短距离,❌,,陕西康奥文化体育发展有限公司,10000,泾干湖公园,,泾阳郑国渠半程马拉松赛,,2024-09-26 23:59
10000/5000,150/100,,,https://www.xishanmls.com,已结束,江苏,A1,无锡市锡山区人民政府,2024-06-03 08:00,suaosports@163.com,,锡山宛山湖马拉松,0512-65722565,2024-11-10 13:38,,全程 / 短距离,✔️,2024-07-10 09:49,江苏宛马产业投资有限公司,15000,迎宾广场,,锡山宛山湖马拉松,,2024-06-28 17:00
4000/4000/2000,120/50/50,,,,已结束,湖北,B类,湖北省体育局 / 荆州市人民政府,2024-09-25 16:30,shishoumarathon@126.com,,石首文旅之声,19186256306,2024-11-17 13:05,,半程 / 中距离 / 短距离,❌,,江苏飞睿体育文化发展有限公司,10000,陈家湖公园,,湖北石首半程马拉松,,2024-10-30 17:20
10000/4000/6000,150/80/80,,,https://yiwumls.com,已结束,浙江,A1 / 标牌,义乌市人民政府 / 浙江省马拉松及路跑协会 ,2024-09-29 10:00,yiwumls@163.com,,义乌半程马拉松,17394673907,2024-11-17 17:17,,半程 / 中距离 / 短距离,❌,2024-11-02 09:18,浙江飞翔体育文化有限公司,20000,义乌市梅湖体育中心,,义乌半程马拉松,,2024-10-17 17:00
30000,200,,,Http://beijing-marathon.com,已结束,北京,A1 / 金标 / AIMS / CMM,中国田径协会 / 北京市体育局,2024-10-02 11:00,oc@beijing-marathon.com,https://docimg7.docs.qq.com/image/AgAACG-qqCFZhL2ikSVKIKqd8oqUAR0F.jpeg?w=2880&h=1600,北京马拉松,010-67167482,2024-11-03 23:22,,全程,✔️,2024-10-15 09:46,中奥路跑(北京)体育管理有限公司,30000,天安门广场,,北京马拉松,https://docimg8.docs.qq.com/image/AgAACG-qqCFdblEpBVdBaJkMSjuHDjGE.png?w=1080&h=1649,2024-10-05 11:00
12000/5000/3000,160/100/80,,,,已结束,江苏,A1 / 精英,中共江苏省委宣传部 / 江苏省体育局 / 常州市人民政府,2024-08-23 10:00,,,,,2024-11-02 23:17,,半程 / 10km / 短距离,✔️,2024-09-23 16:39,江苏有迈体育发展股份有限公司,20000,,,常州西太湖半程马拉松,,2024-09-17 23:59
8000/15000/7000,200/180/80,,,https://no1.suzhou-marathon.com,已结束,江苏,A1,苏州市吴中区人民政府,2024-08-08 10:00,marathon@huisports.com,https://docimg7.docs.qq.com/image/AgAACG-qqCFr2QWbvolMKJPzoVXO2MHA.jpeg?w=3945&h=4697,汇运动,0512-62600818,2024-11-17 13:49,,全程 / 半程 / 短距离,✔️,2024-09-30 10:52,苏州汇创体育文化发展有限公司,30000,苏州湾地下空间,,苏州“环太湖1号公路”马拉松,https://docimg9.docs.qq.com/image/AgAACG-qqCFmFSzcxOxC74DpNBnIgqcX.jpeg?w=1280&h=868,2024-09-24 15:00
4000/8000/4000,160/130/80,,,,已结束,福建,A1,福建省体育局 / 莆田市人民政府,2024-09-05 10:00,,,,,2024-11-17 13:25,,全程 / 半程 / 短距离,❌,,福建省广播影视文化传媒有限公司,16000,,,仙游马拉松,,2024-10-10 10:00
1500/3500/1000,150/100/50,,,https://anyuan.sport-china.cn,已结束,江西,A1,江西省体育局 / 赣州市人民政府 / 赣州市体育局 / 安远县人民政府,2024-08-20 14:00,aymarathon@sport-china.cn,,第一赛道、安远马拉松,,2024-11-03 14:21,,全程 / 半程 / 短距离,❌,,,6000,三百山国家风景名胜区游客集散中心,,安远马拉松赛,,
1000/3000/1000,NT1700/1500/1200,,,https://www.sunmoonlakemarathon.com,已结束,台湾,AIMS,,2024-01-15 10:00,sunmoonlakemarathon.service@gmail.com,,,(886)09-32339038,2024-10-27 10:49,,全程 / 超半马 / 短距离,❌,,,5000,,,日月潭環湖馬拉松,,2024-05-31 17:00
2000/2000,80/50,,,,已结束,广东,A1,中国田径协会 / 揭西县人民政府,2024-10-11 10:00,413614542@qq.com,,揭西发布、中国10公里精英赛,18312740080,2024-11-10 10:24,,10km / 短距离,❌,,汕头市先奥体育文化传播有限公司,4000,道江西路与湖坡二路交叉口,,中国田径协会10公里精英赛·揭西棉湖站,https://docimg4.docs.qq.com/image/AgAACG-qqCHoKdBiFMZEWJKA4oTEPScB.png?w=884&h=852,2024-10-16 20:00
3000/7000/5000/5000,120/100/60/50,,,,已结束,江西,A1,江西省体育局 / 新余市人民政府,2024-06-16 13:14,,,仙女湖马拉松,,2024-10-27 11:34,,全程 / 半程 / 中距离 / 短距离,❌,,安徽波动马拉松赛事运营管理有限公司,20000,新余市体育中心,,新余仙女湖马拉松,,2024-08-30 12:00
6000/12000/10000,180/160/60,,,,已结束,江苏,精英,徐州市人民政府,2024-10-12 10:00,,,,,2024-11-17 16:45,,全程 / 半程 / 短距离,✔️,,华体赛事（北京）体育管理有限公司,28000,城市阳台,,徐州马拉松,,2024-10-30 10:00
3000/7000/8000,120/100/50,,,https://www.hnzkmarathon.com,取消/推迟/熔断,河南,B类,中华慈善总会 / 河南省联合慈善总会 / 周口市人民政府,2024-08-22 10:00,hnzkmls@163.com,,周口马拉松赛,0394-8539796,2024-11-10 10:13,,全程 / 半程 / 短距离,❌,,河南路跑文化传媒有限公司,18000,周口市体育中心,,周口马拉松,,2024-10-20 23:59
20000/12000/4000,150/120/80,,,http://www.hzim.org,已结束,浙江,A1 / 金标 / AIMS,浙江省体育局 / 杭州市人民政府,2024-09-15 10:00,marathon@hzim.org,,杭马,0571-85062073,2024-11-03 17:04,,全程 / 半程 / 短距离,✔️,2024-09-28 09:20,浙江大丰体育文化发展有限公司,36000,黄龙体育中心,,杭州马拉松,,2024-09-17 12:00
8000/2000,150/80,,,,已结束,云南,A1,云南省体育局 / 玉溪市人民政府,2024-09-05 10:00,,,,,2024-11-03 17:40,,半程 / 短距离,✔️,2024-10-10 13:17,四川博捷体育文化传播有限公司,10000,,,玉溪抚仙湖半程马拉松,,2024-10-05 22:00
2000/3000/5000,170/140/70,,,https://longkou.sport-china.cn,已结束,山东,A1,龙口市人民政府 / 烟台市体育局,2024-08-16 14:00,,,第一赛道、龙口马拉松,020-29008788,2024-10-27 15:57,,全程 / 半程 / 短距离,❌,,广东新中体育集团有限公司,10000,人民公园,,龙口马拉松赛,,2024-10-13 00:00
12000/15000/8000,150/100/50,,,https://nanchang-marathon.com,已结束,江西,A1 / 精英,江西省体育局 / 南昌市人民政府,2024-08-15 14:00,nanchang42195@163.com,https://docimg6.docs.qq.com/image/AgAACG-qqCEdntCLUclIeayRCD8Jh7gF.png?w=690&h=1237,南昌马拉松,0791-82760165,2024-11-10 17:16,,全程 / 半程 / 短距离,✔️,2024-09-10 09:04,北京中迹体育管理有限公司,35000,八一广场,,南昌马拉松,,2024-08-22 17:00
2000/4000/6000,150/120/60,,,https://jiande.zjim.org,已结束,浙江,B类,建德市人民政府 / 浙江省马拉松及路跑协会,2024-08-29 10:00,hirunkefu@163.com,,建德马拉松,19558164512,2024-11-17 13:44,,全程 / 半程 / 短距离,❌,,杭州文广联合广告传媒有限公司 / 杭州嗨跑体育管理有限公司,12000,建德新安江景区,,建德马拉松,,2024-09-30 18:00
10000/15000/5000,150/100/50,,,https://www.hefeimarathon.com,已结束,安徽,A1 / 精英,中国田径协会 / 安徽省体育局 / 合肥市人民政府,2024-08-08 10:00,,,合肥马拉松,0551-62648635,2024-11-10 17:15,,全程 / 半程 / 短距离,✔️,2024-08-20 11:18,,30000,合肥骆岗公园,,合肥马拉松,https://docimg2.docs.qq.com/image/AgAACG-qqCFTVkRHwABGXqwEVv9Zdv0y.png?w=1080&h=1425,2024-08-17 17:30
5000/3000,150/60,,,,已结束,重庆,B类,重庆市涪陵区人民政府,2024-08-08 12:00,,,涪陵文旅、云动重庆咨询,17316784625,2024-10-27 14:54,,半程 / 短距离,❌,,重庆云动风行体育文化传播有限公司,8000,锦绣广场,,重庆涪陵白鹤梁半程马拉松,,2024-10-08 23:59
2500/4000/5500,150/120/50,,,,已结束,河南,B类,三门峡市人民政府,2024-09-11 10:00,joysports2021@126.com,,三门峡马拉松,13673626997,2024-11-17 15:44,,全程 / 半程 / 短距离,❌,,北京初美体育文化发展有限公司,12000,三门峡国际文博城会展中心,,三门峡马拉松,,2024-10-21 17:00
17000/3000,160/100,,,https://lihumarathon.com,已结束,江苏,A1 / 标牌,无锡市滨湖区人民政府,2024-06-25 10:00,kefu@ihuipao.com,,汇跑赛事,400-99-42195,2024-11-03 00:00,,半程 / 短距离,✔️,2024-07-15 00:00,无锡汇跑体育有限公司,20000,太湖西大道与隐秀路交叉口,,环蠡湖半程马拉松,,2024-07-10 17:00
3000/6000/3000/3000,150/120/80/60,,,,已结束,浙江,A1,湖州市人民政府 / 长兴县人民政府,2024-09-26 10:00,huzhoumarathon@163.com,https://docimg4.docs.qq.com/image/AgAACG-qqCFK6saiGppOjaWwJQVq6r6q.png?w=1080&h=570,跃动湖州、午马体育,18058756033,2024-11-17 12:59,,全程 / 半程 / 中距离 / 短距离,❌,,浙江午马精英体育发展有限公司 / 湖州市新闻传媒中心,15000,太湖龙之梦乐园嬉水世界,,湖州马拉松,https://docimg2.docs.qq.com/image/AgAACG-qqCHf4awRer9IxbaYuBex3xNw.png?w=1080&h=1046,2024-10-18 12:00
3000/6000/3000/3000,150/120/80/50,,,https://tmhmarathon.xempower.cn,已结束,江苏,B类,溧阳市人民政府 / 常州市体育局,2024-08-31 10:00,tmhmarathon@xempower.com.cn,,天目湖马拉松,025-87775902,2024-11-10 13:40,,全程 / 半程 / 10km / 短距离,✔️,2024-10-15 16:51,南京善跑体育科技有限公司,15000,燕湖公园,,天目湖马拉松,,2024-09-30 18:00
4000/8000/8000/4000,NT1800/1100/800/500,,,https://evaairrun.com,已结束,台湾,AIMS,"長榮航空 / ""中華民國路跑協會"" / ""中華民國文化休閒運動協會""",2024-05-02 17:00,service@sportsnet.org.tw,,,,2024-10-27 10:40,,全程 / 半程 / 10km / 短距离,❌,,,24000,,,長榮航空城市觀光馬拉松 ,,2024-05-30 17:00
3000/4000/3000,150/120/80,,,http://nantonghaimenmarathon.umaysports.cn,已结束,江苏,A1,南通市人民政府,2024-08-28 10:00,nantonghaimenmls@163.com,,海门马拉松,19905197127,2024-11-10 18:03,,全程 / 半程 / 短距离,❌,,,10000,太仓路与黄浦江路交叉口,,南通海门马拉松,,2024-10-08 17:00
5000/10000/10000,180/150/60,,,,已结束,四川,A1 / 精英,凉山彝族自治州人民政府,2024-08-09 10:00,,,,,2024-11-09 13:37,,全程 / 半程 / 短距离,❌,,成都中体大健康体育文化传播有限公司,25000,火把广场,,西昌邛海湿地马拉松,,2024-09-13 10:00
25000/10000,200/200,,,http://chengdumarathon.cn/,已结束,四川,A1 / 金标 / AIMS,中国田径协会 / 成都市人民政府,2024-04-15 09:00,cd_marathon@126.com,,成都马拉松,028-83419663,2024-10-27 11:09,,全程 / 半程,✔️,2024-06-15 00:00,广州万达体育发展有限公司,35000,金沙遗址博物馆,,成都马拉松,,2024-05-15 21:00
20000/10000/5000,200/200/100,,,https://xi-ma.com,已结束,陕西,A1 / 精英,陕西省体育局 / 西安市人民政府,2024-09-09 10:00,ximahuipao@163.com,,西马汇跑,400-11-42195,2024-11-03 00:00,,全程 / 半程 / 短距离,✔️,2024-09-23 09:34,西安西马汇跑赛事运营有限公司,35000,西安城墙-永宁门,,西安马拉松,https://docimg8.docs.qq.com/image/AgAACG-qqCG6AEjGeiVLXbbakT3iyOsL.jpeg?w=1080&h=2022,2024-09-14 18:00
7000/13000/6000,150/150/100,,,https://www.baoji-marathon.com,已结束,陕西,A1,陕西省体育局 / 宝鸡市人民政府,2024-09-10 10:00,baojimarathon@163.com,,宝鸡马拉松、威赢赛事,,2024-10-27 09:48,,全程 / 半程 / 短距离,✔️,2024-09-20 13:22,威赢赛事运营有限公司,26000,宝鸡市行政中心广场,,宝鸡马拉松,,2024-09-16 18:00
15000/10000,150/100,,,,已结束,重庆,A1,重庆市南岸区人民政府,2024-08-02 10:00,cqnbmarathon@163.com,https://docimg4.docs.qq.com/image/AgAACG-qqCEu80kEomRIx7zM0_A1y_um.png?w=938&h=1254,重庆重马体育,023-62532161,2024-11-03 17:25,,半程 / 短距离,✔️,2024-08-23 10:31,重庆重马体育发展有限公司,25000,海棠烟雨公园,,重庆长嘉汇半程马拉松,https://docimg2.docs.qq.com/image/AgAACG-qqCEiF5oNLj1OV4JFXqrKcJvs.jpeg?w=1080&h=1527,2024-08-16 17:00
2000/500/2500,100/60/50,,,,已结束,江西,A1,资溪县人民政府 / 抚州市教育体育局,2024-09-21 10:00,,,大觉山马拉松,18702590827,2024-11-17 13:35,,半程 / 10km / 短距离,❌,,浙江森狼体育发展有限公司,5000,资溪面包广场,,大觉山半程马拉松,,2024-10-10 23:59
3000/8000/4000,160/130/60,,,https://www.gaochunmarathon.com,已结束,江苏,A1 / 标牌,南京市高淳区人民政府,2024-09-03 10:00,,,高淳国际慢城马拉松赛,025-69777031,2024-11-03 13:19,,全程 / 半程 / 短距离,❌,,浙江中迹体育发展有限公司,15000,高淳区濑渚洲公园,,南京高淳马拉松,,2024-09-13 17:00
2000/5000/6000/2000,200/150/80/60,,,https://www.exprun.com,已结束,云南,A1,腾冲市人民政府,2024-09-30 18:00,tcmarathon@expewise.com,,腾冲马拉松,0871-65629970,2024-11-17 00:00,,全程 / 半程,❌,,云南行知探索体育文旅产业有限公司,15000,文治光昌广场,,腾冲马拉松 ,,2024-10-27 23:59
6000/10000/6000,180/150/120,,,http://www.langzhongmls.com,已结束,四川,B类,四川省田径协会 / 阆中市人民政府,2024-09-13 10:00,17781113285@163.com,,,17781113285,2024-11-24 10:12,,全程 / 半程 / 短距离,❌,,,22000,落下闳大剧院,,阆中古城马拉松,,2024-10-24 23:59
3000/5000/8000,180/180/80,,,,已结束,广东,B类,阳江市人民政府,2024-09-20 12:00,hld@sport-china.cn,,阳江海陵岛马拉松,,2024-12-01 00:00,,全程 / 半程 / 短距离,✔️,2024-11-08 13:47,广东新中体育集团有限公司,16000,大角湾-螺州海滨公园,,阳江海陵岛马拉松赛,,2024-11-01 22:00
500/1000/1500/800,NT1000/800/700/500,,,https://www.zengwenmarathon.com/,已结束,台湾,CTAA / AIMS,"臺南市政府 / ""中華民國田徑協會""",2024-08-09 12:00,tpe@mf.worldathletics.org,,,(886)02-27782240,2024-12-08 15:25,,全程 / 超半马 / 中距离 / 短距离,❌,,,2800,曾文水库管理局,,曾文水库马拉松,,2024-10-24 23:59
15000/5000,180/100,,,https://www.xmhaicangmarathon.com,已结束,福建,A1 / 标牌,厦门市人民政府,2024-09-19 15:00,haicangbm@163.com,,厦门海沧半程马拉松,0592-5372066,2024-12-01 14:03,,半程 / 短距离,✔️,2024-10-14 14:38,厦门文广体育有限公司,20000,,,厦门海沧半程马拉松赛,https://docimg8.docs.qq.com/image/AgAACG-qqCECxOvVe_ZJv6C_Q3a4qgKM.png?w=1080&h=1627,2024-10-10 12:00
300/8000/7000,180/150/80,,,https://danzhoumarathon.irunner.mobi,已结束,海南,A1 / 标牌,儋州市人民政府,2024-10-24 10:00,hndzmls@163.com,,海南儋州马拉松赛,0898-23301660,2024-12-15 14:11,,全程 / 半程 / 短距离,✔️,2024-11-15 14:05,厦门文广体育有限公司 / 海南尚豪文化传媒有限公司,18000,,,儋州马拉松,,2024-11-12 18:00
5000/7000/8000,150/120/60,,,,已结束,江西,A1,江西省体育局 / 赣州市人民政府,2024-10-28 10:00,ganzhoumls@163.com,,赣州马拉松,0797-8182773,2024-12-15 14:21,,全程 / 半程 / 短距离,❌,,,20000,长征广场,,赣州马拉松,,2024-11-24 23:59
7000/8000,120/50,,,,已结束,广东,B类,新兴县人民政府,2024-09-13 14:00,xinxingmls@126.com,,新兴马拉松官方,13076167389,2024-11-17 10:04,,半程 / 短距离,❌,,南京极致体育发展有限公司,15000,惠能广场,,云浮新兴半程马拉松,,2024-10-23 10:00
5000/5000,120/60,,,https://chengmai-marathon.mararun.com,已结束,海南,A1,澄迈县人民政府,2024-09-29 10:00,chengmaimarathon@126.com,,澄迈半程马拉松,17812173985,2024-11-17 13:08,,半程 / 短距离,✔️,2024-10-29 09:19,海南今燊体育文化发展有限公司,10000,海南生态软件园,,澄迈半程马拉松,,2024-10-22 17:00
5000/10000/5000,150/120/80,,,https://www.jiaxing-marathon.cn,已结束,浙江,A1,浙江省体育局 / 嘉兴市人民政府,2024-09-06 10:00,jxgjmls@163.com,,嘉兴马拉松赛,17722662515,2024-11-24 13:28,,全程 / 半程 / 短距离,❌,,深圳中赛体育产业发展有限公司,20000,嘉兴大剧院,,嘉兴马拉松,https://docimg9.docs.qq.com/image/AgAACG-qqCEcF_kvap1AgK2TGOG8dhFj.png?w=1080&h=1027,2024-10-31 10:00
1500/2000/2000/500,NT1000/900/800/700,,,https://lohasnet.tw/Taichung-marathon2024,已结束,台湾,AIMS,臺中市政府運動局 / 社團法人臺中市繁榮葫蘆墩促進會 / 臺中市神岡區體育會 / 臺中市豐原區體育會,2024-05-01 11:00,lohasnet.tw@gmail.com,https://docimg1.docs.qq.com/image/AgAACG-qqCGZ13lDamdIc68aFR_5Sjto.jpeg?w=970&h=970,,(886)05-5510310,2024-11-24 14:54,,全程 / 半程 / 中距离 / 短距离,❌,,,6000,七星岗,,臺中國際馬拉松,"https://docimg7.docs.qq.com/image/AgAACG-qqCFYkxd28AJKh6ywmgZ09zD1.jpeg?w=1240&h=1219, https://docimg7.docs.qq.com/image/AgAACG-qqCECuOJEiEpBVbqwTZC7p6nl.jpeg?w=1240&h=1219, https://docimg7.docs.qq.com/image/AgAACG-qqCFe1fLi7DlF7b8oAQ4iW8c7.jpeg?w=1240&h=1683, https://docimg7.docs.qq.com/image/AgAACG-qqCGKowlrFYlMCI8DBAbArkJP.jpeg?w=1240&h=1683",2024-09-30 23:59
6000/13000/6000,180/180/100,,,https://www.runsuzhou.com,已结束,江苏,A1 / 精英,苏州国家高新技术产业开发区管理委员会,2024-10-06 10:00,runsuzhou@163.com,,苏州太湖马拉松,0512-69580906,2024-12-01 00:00,,全程 / 半程 / 短距离,✔️,2024-10-30 14:42,苏州高新体育产业有限公司 / 苏州市环太湖体育发展有限公司,25000,狮山路与长江路交叉口,,苏州太湖马拉松,,2024-10-23 17:00
2000/3000/4000/6000,120/100/50/30,,,,已结束,安徽,A1,安徽省体育局 / 淮南市人民政府,2024-09-26 10:00,,,2024淮南马拉松,19355971127,2024-12-08 15:02,,全程 / 半程 / 中距离 / 短距离,❌,,安徽盛齐体育发展有限责任公司,15000,乐动力淮南奥体中心,,淮南马拉松,,2024-10-16 10:00
4500/2000,120/60,,,,已结束,广西,B类,桂林市体育局 / 兴安县人民政府,2024-09-27 10:00,xingan@gustomail.cn,,兴安灵渠马拉松,13533061165,2024-12-08 00:00,,半程 / 短距离,❌,,安徽竞体体育文化发展有限公司,6500,灵渠博物院,,兴安灵渠半程马拉松,https://docimg9.docs.qq.com/image/AgAACG-qqCHL-Fx18kBLEoOcFfugFwwk.png?w=1080&h=1151,2024-11-28 18:00
3000/2000,150/80,,,,取消/推迟/熔断,广东,B类,海丰县人民政府,2024-10-28 18:00,,,乐跑客、黄羌林场,17724288277,2024-12-01 00:00,,半程 / 短距离,❌,,广州乐跑客文化体育发展有限公司,5000,黄羌林场,,黄羌林场运动小镇半程马拉松,,2024-11-15 18:00
