官方邮箱,起点,运营单位,抽签,最后编辑人,状态,分项规模,赛事,最后编辑时间,创建人,完赛经历要求,报名费,体检报告,联系电话,省份,赛事等级,创建时间,报名渠道,比赛路线,主办单位,奖牌,官网,比赛日期,缴费时间,退出机制,比赛项目,出签日期,总规模,微信公众号,报名开启时间,报名截止时间
macao10k@sport.gov.cn,西湾湖广场,,❌,,已结束,7000/3000,澳门国际十公里长跑赛,,,未提及,MOP200/70,未提及,(853)28236363,澳门,MC / AIMS,,官网/微信/小程序,,澳门特别行政区体育局 / 金沙中国有限公司 / 澳门田径总会,,https://www.macao10k.com,2025-03-16 09:53,报名时缴费,限期付费更改项目，无退出机制,10km / 短距离,,10000,澳门体育,2025-02-08 09:00,2025-03-01 00:00
shangyumls@163.com,上虞新体育中心,广州博润体育科技有限公司,❌,,已结束,8000/7000,绍兴·上虞半程马拉松,,,,100/40,自行评估,0575-82200455,浙江,A / 标牌,,官网/微信/小程序,,绍兴市上虞区人民政府,,https://www.shangyu-marathon.com,2025-03-30 00:00,报名时缴费,无,半程 / 短距离,,15000,曹娥江半程马拉松赛,2025-01-16 10:00,2025-02-16 17:00
yzmls@yzmls.com,扬州市民中心广场,中奥路跑(北京)体育管理有限公司,✔️,,已结束,20000/10000,扬州半程马拉松,,,未提及,180/50,自行评估,18618329968,江苏,A / 金标,,官网/微信/小程序 / 数字心动 / 马拉马拉,,扬州市人民政府,"https://docimg1.docs.qq.com/image/AgAACG-qqCHkO0LqKulL4bRvm0rz2Avg.png?w=1080&h=608, https://docimg9.docs.qq.com/image/AgAACG-qqCHbpnPD-4NA0r92qJWKO_cP.png?w=1080&h=608",http://www.yzmls.com,2025-03-30 09:43,中签后缴费,无,半程 / 短距离,2025-02-13 16:17,30000,扬州马拉松,2025-01-19 10:00,2025-01-25 10:00
1423394986@qq.com,空港中心,武汉空港国际文化教育有限公司 / 武汉艾斯未来文化传媒有限公司,✔️,,已结束,6000/4000,武汉空港国际商务新城半程马拉松,,,未提及,100/40,自行评估,17771860104,湖北,B,,官网/微信/小程序 / 数字心动 / 马拉马拉 / 润赛美佳 / 最酷 / 跑跑网(马拉松报名),,武汉市黄陂区人民政府,,,2025-03-09 09:55,报名时缴费,无,半程 / 短距离,2025-02-05 17:51,10000,,2024-12-23 10:00,2025-01-13 23:59
wuxuan@gustomail.cn,,广西新中体育有限责任公司,❌,,已结束,4000/3000,武宣半程马拉松,,,半程或以上,120/60,自行评估,,广西,A,,官网/微信/小程序 / 第一赛道,,来宾市人民政府,,https://wuxuan.sport-china.cn,2025-03-09 10:48,报名时缴费,"1.退赛退费：（1）已提交报名信息及支付的选手，在退改服务期限内，可在订单页面自行办理退费服务。（2）完成缴费后24小时内的报名订单，申请退赛退费的将不收取任何费用，报名费将在申请后1个工作日内全额原路退回。（3）完成缴费后超过24小时的报名订单，申请退赛退费的不论项目均需收取20元/次的服务费，扣除相应服务费后剩余费用在申请后1个工作日内原路退回。
2.改换项目：（1）需要更换项目的选手，在退改服务截止前，可先进行退赛退费操作后，重新报名需改换的项目。（2）从短距离项目改长距离项目者，还须符合长距离项目参赛条件并通过审核后方能获得参赛资格。3.退改服务期限：2月16日退费服务系统关闭，将不再受理任何退费申请。4.由组委会审核报名资质不符合者，在报名截止前可以重新提交符合要求的资格证书，在报名截止后不能再重新提交。资格审核不通过的报名费将在报名截止后的7个工作日内全额原路退回。",半程 / 短距离,,7000,武宣半程马拉松,2025-01-17 10:00,2025-02-23 18:00
srmarathon@163.com,市民公园,江西奥立特体育文化发展有限公司,❌,,已结束,7000/8000,上饶半程马拉松赛,,,半程或以上,100/50,可用完赛证书,18720369011,江西,A,,官网/微信/小程序 / 马拉马拉 / 最酷,,上饶市人民政府,,,2025-03-23 11:03,报名时缴费,1.退费：完成缴费后24小时内的订单，申请退赛退费的将不收取任何费用，报名费将在申请后7个工作日内全额原路退回。2.改换项目：（1）需要更换项目的选手，需先完成退费操作后，可重新报名需改换的项目；（2）从短距离项目改长距离项目者，还须符合长距离项目参赛条件并通过审核后方能获得参赛资格。3.退改服务期限：在2月15日后，退费服务系统关闭，将不再受理任何退费申请；,半程 / 短距离,,15000,上饶马拉松,2025-01-16 10:00,2025-02-15 18:00
sizmls@yerensports.com,解放广场,河北野人体育文化发展有限公司,✔️,,已结束,12000/18000/5000,石家庄马拉松,,,未提及,150/120/20,自行评估,0311-87710266,河北,A / 标牌,,数字心动,,石家庄市人民政府,,http://www.siz-marathon.com,2025-03-30 16:48,报名时缴费,无,全程 / 半程 / 短距离,2025-02-19 13:01,35000,石家庄马拉松赛,2025-01-24 10:00,2025-02-09 17:00
dshjmarathon@163.com,岱山体育馆,北京中迹体育管理有限公司,❌,,已结束,4000/2000,岱山海岬半程马拉松,,,未提及,150/60,未提及,0580-4476012,浙江,A,,官网/微信/小程序,https://docimg9.docs.qq.com/image/AgAACG-qqCGbfHC7hP1LIpEU_lZJ9kW_.jpeg?w=1280&h=1810,岱山县人民政府,,http://daishanmarathon.com,2025-03-30 09:29,报名时缴费,无,半程 / 短距离,,6000,岱山海岬半程马拉松,2025-01-13 10:00,2025-01-15 17:00
pysthmarathon@163.com,天子河公园,江西汗青体育有限发展公司,❌,,已结束,3000/2000,南昌鄱阳湖半程马拉松,,,未提及,100/50,自行评估,19079185632,江西,B,,官网/微信/小程序,https://docimg6.docs.qq.com/image/AgAACG-qqCHPOjjTAwFHQoCjJno92ru8.jpeg?w=1280&h=905,南昌高新技术产业开发区管委会 / 南昌市体育局 / 南昌市农业农村局 / 南昌市文化广电新闻出版旅游局,,,2025-03-16 15:28,报名时缴费,无,半程 / 短距离,,5000,云动江西,2025-01-16 10:00,2025-02-06 18:00
nantongmalasong@163.com,,江苏铁人体育文化发展有限公司,✔️,,已结束,5000/10000/15000,南通马拉松,,,未提及,150/120/80,自行评估,15190878421,江苏,A,,官网/微信/小程序,,南通市人民政府,,https://ntmls.irunner.mobi,2025-03-23 17:16,报名时缴费,无,全程 / 半程 / 短距离,2025-02-14 15:59,30000,南通马拉松,2025-01-13 10:00,2025-02-12 00:00
32332033@qq.com,开元寺塔广场,河北乐跑体育发展有限公司,❌,,已结束,6000/6000,定州半程马拉松,,,未提及,120/50,自行评估,18532699861,河北,A,,数字心动,https://docimg10.docs.qq.com/image/AgAACG-qqCHTS-3d_uZIwLVkeeHt6ErH.jpeg?w=6805&h=7086,中共定州市委 / 定州市人民政府,,,2025-04-20 15:40,报名时缴费,无,半程 / 短距离,,12000,,2025-01-09 10:00,2025-01-25 10:00
,,,❌,,已结束,4000/2000,肥西紫蓬山半程马拉松,,,未提及,120/80,自行评估,,安徽,B,,数字心动,,合肥市体育局 / 肥西县人民政府,,,2025-04-12 11:18,报名时缴费,无,半程 / 短距离,,6000,波动体育,2025-03-18 10:00,2025-03-25 22:00
qlhmls@163.com,麒麟广场,阳光赛事运营（山东）有限公司 / 天津华宇慧晨文化传播有限公司,✔️,,已结束,12000/3000,天津·宁河七里海半程马拉松,,,未提及,120/60,自行评估,15753290516,天津,A,,官网/微信/小程序,,天津市宁河区人民政府,,,2025-04-20 10:35,报名时缴费,,半程 / 短距离,2025-03-14 15:14,15000,宁河七里海马拉松,2025-02-28 14:00,2025-03-09 17:00
,合川区人民政府,重庆千君智行体育赛事策划有限公司 / 重庆千君万马体育发展有限公司,❌,,已结束,4000/6000,合川半程马拉松,,,未提及,150/100,未提及,,重庆,A,,官网/微信/小程序,,重庆市合川区人民政府,,,2025-03-30 16:11,报名时缴费,无,半程 / 短距离,,10000,千君万马体育,2025-01-18 10:30,2025-03-15 23:59
,,悦动未来（宁夏）体育文化发展有限公司,❌,,已结束,4800/1700,宁夏贺兰山东麓葡萄酒产区半程马拉松路跑双季赛（花季赛）,,,未提及,140/80,自行评估,13309501470,宁夏,B,,官网/微信/小程序 / 数字心动,,宁夏回族自治区体育局 / 宁夏回族自治区文化和旅游厅 / 宁夏贺兰山东麓葡萄酒产业园区管理委员会,,,2025-04-13 09:41,报名时缴费,无,半程 / 短距离,,6500,宁夏贺兰山路跑双季赛,2025-01-22 10:00,2025-03-28 10:00
,翔鹤楼餐饮店,浙江青鸟捷出体育科技有限公司,✔️,,已结束,3000/4000,老河口半程马拉松,,,半程或以上,130/60,可用完赛证书,0710-8225818,湖北,A,,官网/微信/小程序,,中共老河口市委 / 老河口市人民政府,,,2025-04-20 14:40,报名时缴费,无,半程 / 短距离,2025-03-29 11:07,7000,老河口半程马拉松,2025-03-10 10:00,2025-03-23 20:00
changyangmarathon@126.com,土家源广场,湖北体育产业集团长江赛事运营有限公司 / 路越（上海）体育发展有限公司,❌,,已结束,4000/6000,湖北·长阳清江半程马拉松,,,10km及以上,130/50,可用完赛证书,19186256306,湖北,A,,官网/微信/小程序 / 数字心动 / 第一赛道,,湖北省体育局 / 宜昌市人民政府,,https://changyang.sport-china.cn,2025-04-20 09:54,报名时缴费,3月31日前可退费,半程 / 短距离,,10000,长阳半程马拉松,2025-01-26 10:00,2025-03-31 18:00
dayunhemarathon@163.com,,海南今燊体育文化发展有限公司 / 南京有迈体育发展有限公司,✔️,,已结束,7000/3000,常州天宁大运河半程马拉松,,,未提及,150/60,自行评估,19905197127,江苏,A,,官网/微信/小程序 / 数字心动,https://docimg6.docs.qq.com/image/AgAACG-qqCHm1qR82lpOOaywNf4PL3GJ.png?w=1280&h=1156,常州市天宁区人民政府 / 常州市体育局,,http://dayunhemarathon.umaysports.cn/,2025-04-20 17:23,报名时缴费,无,半程 / 短距离,2025-03-28 17:26,10000,常州天宁大运河半程马拉松、有迈路跑,2025-02-14 10:00,2025-03-23 18:00
,贺龙体育场-南广场,湖南博森体育管理有限公司,❌,,已结束,10000/5000,湘江半程马拉松赛,,,未提及,130/60,未提及,0731-82566433,湖南,A,,官网/微信/小程序 / 数字心动 / 马拉马拉 / 我要赛 / 最酷 / 跑跑网(马拉松报名),,长沙市人民政府,,http://www.hnxjty.cn/,2025-04-20 17:35,报名时缴费,无,半程 / 短距离,,15000,湘江马拉松赛,2025-02-27 10:00,2025-03-16 10:00
,,南京善跑体育科技有限公司,✔️,,已结束,,保定马拉松,,,,,,,河北,A,,,,保定市人民政府,,,2025-04-20 17:00,,,全程 / 半程 / 短距离,2025-03-25 11:05,25000,,2025-03-16 10:00,2025-03-20 17:00
xlmarathon@163.com,羊山公园,,✔️,,已结束,10000/2000,南京仙林半程马拉松,,,未提及,200/80,自行评估,025-87775902,江苏,A / 精英,,官网/微信/小程序,,中国田径协会 / 南京市栖霞区人民政府 / 南京经济技术开发区管理委员会 / 南京市仙林大学城管理委员会,,https://www.xlmarathon.com,2025-04-13 08:58,中签后缴费,3月30日24点前可退,半程 / 短距离,2025-03-21 14:55,12000,南京仙林半程马拉松,2025-03-05 10:00,2025-03-12 18:00
liuzhou@sport-china.cn,柳江市民广场,广西新中体育有限责任公司,✔️,,已结束,7000/12000/6000/10000,柳州马拉松,,,半程或以上,180/150/80/70,自行评估,,广西,A,,官网/微信/小程序 / 第一赛道,https://docimg5.docs.qq.com/image/AgAACG-qqCFct-3Pw9FApK2IdA0Kb1rF.png?w=1280&h=1697,广西壮族自治区体育局 / 柳州市人民政府 / 中国警察网,"https://docimg3.docs.qq.com/image/AgAACG-qqCEDnbhz0-5LMZvRcjTVGBXg.png?w=1080&h=1296, https://docimg10.docs.qq.com/image/AgAACG-qqCEuZM7xEuNJA6yeVne7C4A-.png?w=1080&h=1296, https://docimg10.docs.qq.com/image/AgAACG-qqCHMN-Lu3uRMgbnVmqXocCem.png?w=640&h=427",https://liuzhou.gusto.cn/,2025-03-30 17:42,报名时缴费,1.退赛退费：（1）已提交报名信息及支付的选手，在退改服务期限内，可在订单页面自行办理退费服务。（2）完成缴费后24小时内的报名订单，申请退赛退费的将不收取任何费用，报名费将在申请后1个工作日内全额原路退回。（3）完成缴费后超过24小时的报名订单，申请退赛退费的不论项目均需收取20元/次的服务费，扣除相应服务费后剩余费用在申请后1个工作日内原路退回。2.改换项目：（1）需要更换项目的选手，在退改服务截止前，可先进行退赛退费操作后，重新报名需改换的项目。（2）从短距离项目改长距离项目者，还须符合长距离项目参赛条件并通过审核后方能获得参赛资格。3.退改服务期限：2月9日退费服务系统关闭，将不再受理任何退费申请。4.由组委会审核报名资质不符合者，在报名截止前可以重新提交符合要求的资格证书，在报名截止后不能再重新提交，资格审核不通过的选手、不中签选手的报名费将在抽签结果公布后的7个工作日内全额原路退回。,全程 / 半程 / 中距离 / 短距离,2025-02-14 17:56,35000,第一赛道、柳州马拉松,2025-01-09 14:00,2025-02-09 18:00
kxmarathon@163.com,一带一路美丽乡村论坛会址,甘肃行者体育管理有限公司,❌,,已结束,800/2200,康县青龙山半程马拉松,,,未提及,100/60,自行评估,0931-8100500,甘肃,A,,官网/微信/小程序 / 数字心动,,陇南市人民政府 / 康县人民政府,,https://kangxianmarathon.com,2025-04-20 17:18,报名时缴费,无,半程 / 短距离,,3000,康县青龙山半程马拉松,2025-02-10 10:00,2025-02-26 18:25
hbmalasong@163.com,,河南路跑文化传媒有限公司,❌,,已结束,2000/3000/5000,鹤壁马拉松赛,,,未提及,150/120/70,未提及,16691918881,河南,A,,官网/微信/小程序,,鹤壁市人民政府,,,2025-04-20 18:43,报名时缴费,,全程 / 半程 / 短距离,,10000,鹤壁马拉松,2025-03-06 17:00,2025-04-05 23:59
ztdjkgs@163.com,重庆万州体育中心,成都中体大健康体育文化传播有限公司,❌,,已结束,3000/7000/10000,重庆万州环湖马拉松,,,未提及,160/120/70,必须,18008053490,重庆,A,,官网/微信/小程序 / 数字心动 / 润赛美佳,,重庆市万州区人民政府,,http://www.wanzhoumls.com,2025-03-30 15:29,报名时缴费,无,全程 / 半程 / 短距离,,20000,中体大健康,2025-01-10 10:00,2025-03-11 18:00
3354044034@qq.com,连南瑶族自治县人民政府,,❌,,已结束,5000/5000,连南半程马拉松,,,半程或以上,150/80,自行评估,15686968938,广东,A,,官网/微信/小程序 / 数字心动,,连南瑶族自治县人民政府,,,2025-03-30 09:20,报名时缴费,无,半程 / 短距离,,10000,,2025-01-24 10:00,2025-02-10 23:59
jinanlupaowenhua@foxmail.com,潍坊市峡山区市民活动中心,济南路跑文化传播有限公司,❌,,已结束,1000/2000/3000,环峡山湖马拉松,,,未提及,150/100/50,自行评估,0531-87942195,山东,A,,官网/微信/小程序,,潍坊市体育局 / 潍坊峡山生态经济开发区管理委员会,,,2025-04-20 14:42,报名时缴费,无,全程 / 半程 / 短距离,,6000,环峡山湖马拉松,2025-02-21 10:00,2025-03-24 17:00
zdsc@sgugroup.com,金沙滩啤酒城,青岛中德体育文化传播有限公司 / 青岛平头体育有限公司,✔️,,已结束,13000/2000,青岛西海岸半程马拉松,,,半程或以上,150/80,自行评估,18661635367,山东,B,,官网/微信/小程序 / 数字心动,https://docimg6.docs.qq.com/image/AgAACG-qqCHarHIR0WJDc6A9Q7bB9kko.jpeg?w=1280&h=1077,青岛西海岸新区管委,https://docimg6.docs.qq.com/image/AgAACG-qqCE2AC_NsWRGKYT1pDbtsSrr.jpeg?w=1280&h=1077,https://www.ratelsports.cn,2025-04-06 13:49,报名时缴费,无,半程 / 短距离,2025-02-26 11:09,15000,中德文体、青岛西海岸半程马拉松,2025-01-22 14:00,2025-02-14 17:00
hzhrmls@163.com,菏泽大剧院,菏泽华瑞国粮国际会展有限公司,❌,,已结束,4000/4000/7000,菏泽马拉松,,,未提及,120/100/60,自行评估,,山东,A,,官网/微信/小程序 / 润赛美佳 / 数字心动,https://docimg1.docs.qq.com/image/AgAACG-qqCG4syfqdBdNPJ5fYFWSiavj.png?w=590&h=811,菏泽市人民政府,,,2025-04-26 16:43,报名时缴费,无,全程 / 半程 / 短距离,,15000,菏泽马拉松,2025-01-22 15:00,2025-03-17 00:00
mlsfuyang@163.com,,,✔️,,已结束,5000/7000/5000/5000,阜阳马拉松赛暨中国田径协会10公里精英赛（阜阳站）,,,未提及,150/120/100/80,自行评估,,安徽,A / WA,,官网/微信/小程序 / 数字心动,,安徽省体育局 / 阜阳市人民政府,,,2025-04-20 14:19,报名时缴费,无,全程 / 半程 / 10km / 短距离,2025-03-05 15:32,22000,阜阳旅游,2025-02-13 10:00,2025-02-28 23:59
,江阴体育中心,浙江中迹体育发展有限公司,❌,,已结束,12000/8000,江阴半程马拉松,,,未提及,150/80,未提及,0510-86413280,江苏,A,,官网/微信/小程序 / 马拉马拉 / 跑跑网(马拉松报名) / 我要赛 / 最酷,,江阴市人民政府,,,2025-04-13 14:14,报名时缴费,无,半程 / 短距离,,20000,江阴半程马拉松,2025-01-11 10:00,2025-01-11 16:00
xxbcmls@139.com,,,❌,,已结束,5000/5000,新县半程马拉松,,,未提及,130/60,未提及,15814562376,河南,A,,官网/微信/小程序 / 数字心动 / 马拉马拉 / 跑跑网(马拉松报名),,信阳市教育体育局 / 新县人民政府,,,2025-04-13 14:48,报名时缴费,无,半程 / 短距离,,10000,新县红旗飘扬半程马拉松,2025-02-10 10:00,2025-03-10 10:00
wuzhoumalasong@163.com,梧州市图书馆,广州万达体育发展有限公司,❌,,已结束,7000/3000/10000,梧州半程马拉松,,,未提及,120/80/50,未提及,18076642195,广西,A,,官网/微信/小程序 / 数字心动,,广西壮族自治区体育局 / 梧州市人民政府,,,2025-04-13 10:50,报名时缴费,无,半程 / 10km / 短距离,,20000,,2025-02-21 09:50,2025-03-20 18:00
,,河南黄河体育文化有限公司,❌,,已结束,1500/3500/5000,兰考沿黄马拉松赛,,,未提及,140/120/60,自行评估,18569989766,河南,B,,官网/微信/小程序 / 数字心动,,兰考县人民政府,,,2025-04-20 09:59,报名时缴费,,全程 / 半程 / 短距离,,10000,兰考沿黄马拉松赛,2025-01-17 10:00,2025-04-07 23:59
bjmcm@beiao.com,司空分署街,北京北奥集团有限责任公司,✔️,,已结束,15000,北京城市副中心马拉松,,,未提及,180,未提及,010-69559928,北京,A,,官网/微信/小程序 / 数字心动,,北京市通州区人民政府 / 北京国有资产经营有限责任公司,,http://bjmcmarathon.chinaath.com,2025-04-19 09:11,报名时缴费,,全程 / 短距离,2025-03-26 11:08,15000,北京城市副中心马拉松,2025-03-01 10:00,2025-03-16 18:00
gxinwenti@163.com,聊城市体育公园,山东国信文体科技股份有限公司,❌,,已结束,7000/3000/5000,聊城半程马拉松,,,半程或以上,120/100/50,必须,13021703779,山东,A,,数字心动 / 马拉马拉,,聊城市人民政府,,,2025-05-01 00:00,报名时缴费,无,半程 / 10km / 短距离,,15000,山东国信文体,2025-03-03 11:30,2025-04-15 18:00
hexianmalasong@126.com,,亳州药都体育科技有限公司,❌,,已结束,4000/1000,和县半程马拉松,,,未提及,100/50,自行评估,,安徽,B,,官网/微信/小程序 / 数字心动,,和县人民政府 / 马鞍山市体育局,,,2025-04-20 00:00,报名时缴费,,半程 / 短距离,,5000,和县文旅,2025-03-26 15:00,2025-04-02 22:00
3021829135@qq.com,,,❌,,已结束,7000/5000,杭州钱塘女子半程马拉松,,,未提及,160/80,自行评估,15715745637,浙江,A / 标牌,,官网/微信/小程序,,杭州市钱塘区人民政府,,,2025-04-13 10:45,报名时缴费,,半程 / 短距离,,12000,杭州钱塘女子半程马拉松,2025-01-25 10:00,2025-03-12 12:00
,雄安城市计算(超算云)中心,北京中迹体育管理有限公司,✔️,,已结束,3000/7000/8000,雄安马拉松,,,,150/100/50,,,河北,A,,官网/微信/小程序,,雄安新区管委会,,,2025-04-20 14:26,报名时缴费,无,全程 / 半程 / 短距离,2025-03-13 09:07,18000,,2025-03-06 08:30,2025-03-10 18:00
rongchengmls@163.com,荣成市体育中心,山东广播电视台,❌,,已结束,2000/5000/5000,荣成马拉松,,,马拉松项目需半程以上完赛经历,150/120/39,自行评估,0531-66661234,山东,A,,官网/微信/小程序 / 数字心动,,威海市体育局 / 荣成市人民政府,,http://rongchengmls.iqilu.com,2025-04-20 14:31,报名时缴费,无 ,全程 / 半程 / 短距离,,12000,荣成滨海马拉松,2025-01-21 14:30,2025-02-28 17:00
info@beyondrunning.cn,望湖亭,,❌,,已结束,7000/3000,江西永修半程马拉松赛,,,未提及,100/50,必须,400-100-8965,江西,A,,官网/微信/小程序 / 数字心动 / 马拉马拉,,永修县人民政府,,,2025-04-13 10:49,报名时缴费,无,半程 / 短距离,,10000,踏秀,2025-02-10 10:00,2025-03-15 18:00
,曲阜市孔子国际会展中心,,❌,,已结束,8000/2000,曲阜半程马拉松,,,未提及,120/60,未提及,,山东,B,,官网/微信/小程序 / 数字心动 / 马拉马拉 / 最酷,https://docimg10.docs.qq.com/image/AgAACG-qqCFjhSVkPzVP2bOxEGDo2y78.jpeg?w=1080&h=893,济宁市体育局 / 曲阜市人民政府,,https://www.qufumarathon.com,2025-04-20 14:27,报名时缴费,无,半程 / 短距离,,10000,圣城体育,2025-01-15 10:00,2025-03-15 18:00
fuyangmarathon@163.com,,深圳市五环体育产业发展有限公司,✔️,,已结束,6000/4000,杭州富阳半程马拉松,,,半程或以上,120/60,可用完赛证书,0571-63348015,浙江,B,,官网/微信/小程序,,杭州市富阳区人民政府,,https://www.fymls.com,2025-04-20 14:29,报名时缴费,无,半程 / 短距离,2025-04-05 10:21,10000,杭州富阳半程马拉松赛,2025-03-18 10:00,2025-03-30 18:00
,"""守护好一江碧水""首倡地展陈馆",,❌,,已结束,4000/10000/3000/3000,岳阳马拉松暨中国田径协会10公里精英赛（岳阳站）,,,未提及,150/130/110/78,自行评估,19083398507,湖南,A / A,,数字心动 / 马拉马拉 / 体坛赛事,,湖南省体育局 / 岳阳市人民政府,https://docimg2.docs.qq.com/image/AgAACG-qqCEaKXNjb1ZLy7WFK1Dm8IUI.png?w=1080&h=639,,2025-04-06 13:48,报名时缴费,,全程 / 半程 / 10km / 短距离,,20000,岳阳马拉松,2025-02-10 10:00,2025-02-28 10:00
etownmalasong@163.com,南海子公园,,✔️,,已结束,12000,北京亦庄半程马拉松,,,未提及,120,自行评估,13521000745,北京,A,,马拉马拉 / 数字心动 / 京东,,北京市体育局 / 北京市经济和信息化局 / 北京经济技术开发区管委会,,,2025-04-19 15:30,中签后缴费,如同日中签北京地区其他赛事可保留名额至2026,半程,2025-03-17 15:34,12000,北京亦庄半程马拉松,2025-03-05 10:00,2025-03-11 17:00
general@shmarathon.com,东方明珠广播电视塔,上海东浩兰生赛事管理有限公司,✔️,,已结束,15000,上海半程马拉松,,,未提及,160,未提及,,上海,A / 金标,,官网/微信/小程序 / 上马,,上海市体育总会 / 上海市浦东新区人民政府 / 东浩兰生（集团）有限公司,,https://www.shang-ma.com,2025-04-20 08:41,中签后缴费,无,半程,2025-03-05 16:49,15000,上马,2025-02-20 14:00,2025-02-24 14:00
info@riseunion.com,,北京北奥集团有限责任公司 / 四川锐思联合体育文化发展有限公司,✔️,,已结束,10000/25000,成都世遗马拉松,,,,200/200,,400-84-42195,四川,A,,官网/微信/小程序 / 数字心动,,成都市人民政府,,https://chengdu.shuzixindong.com,2025-03-30 17:57,报名时缴费,2025年3月6日前可退出,全程 / 半程,2025-02-21 10:05,35000,成都世遗马拉松,2024-12-30 10:00,2025-02-08 22:00
kefu@ihuipao.com,翔宇大道与越秀路交叉口,无锡汇跑体育有限公司,✔️,,已结束,7000/6000/7000,淮安马拉松,,,未提及,160/160/100,未提及,400-99-42195,江苏,A / 标牌,,官网/微信/小程序 / 数字心动,,淮安市人民政府,,https://huaian.marathon.org.cn,2025-04-13 00:00,中签后缴费,,全程 / 半程 / 短距离,2025-02-13 11:09,20000,淮安马拉松、汇跑赛事,2025-01-22 10:00,2025-02-07 17:00
stcbanm2025@163.com,国家海洋博物馆南广场,北京初美体育文化发展有限公司,✔️,,已结束,7000/3000,中新天津生态城半程马拉松,,,未提及,150/100,自行评估,18920575313,天津,B,,数字心动 / 马拉马拉 / 润赛美佳 / 最酷 / 跑跑网(马拉松报名),,天津市滨海新区人民政府 / 中新天津生态城管理委员会,,,2025-04-26 15:25,报名时缴费,无,半程 / 短距离,2025-03-12 10:59,10000,生态城精彩赛事,2025-02-16 10:00,2025-02-28 20:00
shiyanmarathon@126.com,十堰市奥林匹克体育中心-广场,,✔️,,已结束,3000/7000/10000,十堰马拉松,,,半程或以上,160/130/70,自行评估,15549942195,湖北,A,,官网/微信/小程序 / 数字心动,,湖北省体育局 / 十堰市人民政府,,https://www.hb-shiyanmarathon.com,2025-04-13 14:45,报名时缴费,无,全程 / 半程 / 短距离,2025-03-26 11:01,20000,十堰体育,2025-02-27 10:00,2025-03-18 17:00
mqxjtjtyk@126.com,,,❌,,已结束,2000/3000/5000,民权马拉松,,,未提及,140/120/50,自行评估,19213701499,河南,B,,官网/微信/小程序 / 马拉马拉,,商丘市教育体育局 / 民权县人民政府,,,2025-04-20 18:43,报名时缴费,无,全程 / 半程 / 短距离,,10000,民权体育,2025-03-02 10:00,2025-04-05 23:59
,延安市人民公园,陕西体育集团西风烈赛事有限公司,✔️,,已结束,3000/6000/6000,延安新区马拉松赛,,,未提及,150/100/50,自行评估,0911-3752998,陕西,A,,官网/微信/小程序,,陕西省体育局 / 延安市人民政府,,,2025-04-20 10:05,报名时缴费,无,全程 / 半程 / 短距离,2025-02-26 10:27,15000,延安全民健身运动中心,2025-02-08 15:00,2025-02-21 23:59
zixun@qd-mls.com,青岛市人民政府,青岛青马爱跑体育文化有限公司,✔️,,已结束,9000/12000/4000,青岛马拉松,,,半程或以上 / 10km及以上,200/160/80,自行评估,15689901187,山东,A / 精英,,官网/微信/小程序 / 数字心动 / 马拉马拉,,青岛市人民政府,,https://www.qd-mls.com,2025-04-20 14:35,报名时缴费,1.预报名时间内，所有报名者可申请取消预报名并退款。2.中签报名者在2025年1月10日15:00至2025年2月19日12:00期间内可申请取消报名；2025年2月8日15:00前申请取消原报名项目报名费全额退还，此时间后申请取消报名退还原报名项目报名费的75%。3.2025年1月10日15:00至2025年2月19日12:00前，所有候补报名者可申请取消预报名并退款。4.其余时间内不可申请取消（预）报名。,全程 / 半程 / 短距离,2025-01-06 17:42,25000,青岛国际马拉松,2024-12-16 15:00,2024-12-22 12:00
service@sportsnet.org.tw,台北市政府,,❌,,已结束,6000/5000/1500,WOMEN RUN TPE,,,未提及,NT$1200/800/500,未提及,(886)02-25855659,台湾,AIMS,,官网/微信/小程序,,"""中華民國路跑協會""",,https://www.womenruntpe.com/,2025-04-13 14:41,报名时缴费,有,半程 / 10km / 短距离,,12500,,2024-10-21 17:00,2025-02-13 17:00
ychalfmarathon@163.com,,,✔️,,已结束,8000/5000/5000,宜昌半程马拉松,,,半程或以上,130/90/70,可用完赛证书,15320659909,湖北,A,,官网/微信/小程序 / 数字心动 / 第一赛道,,宜昌市人民政府,,http://half.yichangmarathon.com,2025-04-13 11:20,报名时缴费,可改项目,半程 / 中距离 / 短距离,2025-03-24 11:03,18000,宜昌马拉松,2025-02-17 14:00,2025-03-20 18:00
,人民广场,宁波城市漫步文化传播有限公司,❌,,已结束,3000/6000/3000,象山马拉松,,,未提及,150/120/80,必须,400-0022-330,浙江,A,,官网/微信/小程序 / 汇跑参赛助手,https://docimg5.docs.qq.com/image/AgAACG-qqCH-4tbklB5IIbtQxYipCt6B.png?w=1080&h=1527,象山县人民政府 / 浙江省马拉松及路跑协会,,,2025-04-13 09:37,报名时缴费,1.2025年2月28日（含）之前提出退赛申请的，退还报名费；提交退赛申请的选手报名费将于赛事结束后10个工作日内安排专人退还选手报名时的支付账户；2025年2月28日之后提出退赛申请的，退还50%报名费。2.退赛服务系统将在报名截止10日后关闭，将不再受理任何退费申请，报名费不予退还。,全程 / 半程 / 短距离,,12000,象山县马拉松,2025-01-21 10:00,2025-02-28 20:00
